K,l1_dist,cos_sim,cos_sim_ratio,method
4,0.07722916545312178,0.9988567421340172,182.706824962548,gplsi
4,0.11063942985248669,0.9932180831134525,128.5841372409722,gplsi
4,0.0681144934012311,0.9986679877802398,179.31083167927216,gplsi
4,0.04467225687683291,0.9995604673400447,207.98940291708692,gplsi
4,0.1243200808567289,0.9908166042506447,128.98714763161124,gplsi
4,0.06852529375561167,0.9981070909197667,190.22055650035963,gplsi
4,0.08851498968487406,0.997875761573756,213.54424232642066,gplsi
4,0.07720989689060917,0.9952713765210833,153.82435433340817,gplsi
4,0.13708804807018582,0.9911809321689169,160.37126860634157,gplsi
4,0.09308707494322889,0.9979288887675044,216.97555360731477,gplsi
4,0.07591078652395035,0.9989714676188983,179.41548001747418,plsi
4,0.11452325156572438,0.99277996056929,122.67009427624104,plsi
4,0.06139639179970757,0.9988747871751955,175.24606951268302,plsi
4,0.04691731512360685,0.9995511493732184,200.48947541543254,plsi
4,0.12640847284753448,0.9909590348067363,122.58663902590388,plsi
4,0.07146983860053176,0.9980180214614204,181.51492872589856,plsi
4,0.0931539085483399,0.9977725917109629,202.42045896857994,plsi
4,0.07734806717565565,0.9954910674930186,142.9202396790246,plsi
4,0.1386084105808043,0.9915111521896817,149.00934145781423,plsi
4,0.09368094459799267,0.9979246594874176,203.88601059849398,plsi
4,0.5985830578034198,0.874720976450738,5.602393839986038,lda
4,0.23074891437066128,0.9619663980583029,7.149544635204855,lda
4,0.2337240999894088,0.9732889645151015,6.311564062795479,lda
4,0.4602931748329137,0.8955672732373021,6.63533833425728,lda
4,0.5423145723259251,0.8949966829192162,5.898461475467444,lda
4,0.5578368391030705,0.9150379736411118,5.31031266934481,lda
4,0.37353294755657734,0.9545132590516868,7.3341708555284795,lda
4,0.3665407061854518,0.9371598184267943,5.81712600652194,lda
4,0.4759034094405512,0.8923600061599141,6.484325284291784,lda
4,0.386846207651614,0.9490852690665873,6.533893368954705,lda
