K,l1_dist,cos_sim,cos_sim_ratio,method
2,0.328828001448792,0.9567103794333895,27.19411421059305,gplsi
2,0.6805658248878725,0.7158717332051099,19.570514908874223,gplsi
2,0.1442805282792314,0.9960018514759889,46.674678907314295,gplsi
2,0.2990344822552866,0.9723693409890828,37.36134959182396,gplsi
2,0.9437221872139948,0.6037837430371641,3.004596312730856,gplsi
2,0.2436522526458071,0.9754069409984628,30.47822100182904,gplsi
2,0.5914952860778022,0.8929449151566381,8.489289119394746,gplsi
2,0.7478821652160588,0.6958556306713284,9.10358240598216,gplsi
2,0.4826822053311922,0.8413120281632768,52.12194176191615,gplsi
2,0.3971641143205486,0.9593826403858828,19.878468537380396,gplsi
2,0.3330454813739766,0.9560330864609006,25.295655024272236,plsi
2,0.6760459269480764,0.7186797103007445,17.93699851302699,plsi
2,0.1407212212598831,0.9962588017854418,42.7250802645722,plsi
2,0.2916252378396515,0.9732514921773392,33.3202779141997,plsi
2,0.9421637342226484,0.6049556278969753,2.9670496378177993,plsi
2,0.2484718362158064,0.9742616357526122,29.526727890709832,plsi
2,0.5883544111958163,0.8926274302498394,8.322531358863912,plsi
2,0.7424646293025738,0.6991134189254424,9.113822920095377,plsi
2,0.4781304871727542,0.8419647229145948,47.29374954509796,plsi
2,0.3920089991467584,0.9606882742324252,19.471371268126987,plsi
2,0.132119570086643,0.9913545217800828,6.355373519885222,lda
2,0.245147941834686,0.962147007125854,6.777714033107104,lda
2,0.1749456966177223,0.9904036276720346,6.486208604113485,lda
2,0.1668288711875201,0.9863626237166392,6.904735720155056,lda
2,0.2033145398300337,0.979862890852102,6.517681513251345,lda
2,0.1931002214558764,0.9839421876109032,5.961237877550327,lda
2,0.1099326293333934,0.9945276174712034,6.604442876760587,lda
2,0.2905392425944596,0.9548049431428834,6.323187092329703,lda
2,0.198448935666788,0.9781516672063308,7.290142274180217,lda
2,0.2887132050077588,0.9690624465318864,6.103405769505397,lda
3,0.1881616610216484,0.9942007831809764,36.8502991542092,gplsi
3,0.2428126443567059,0.9903661080103254,42.440462393078775,gplsi
3,0.2404073483845565,0.9916308649158346,38.3557667552885,gplsi
3,0.1388787518228021,0.9958344180223916,43.34968155496883,gplsi
3,0.2099974539206722,0.9893781797176212,41.715479943921224,gplsi
3,0.1906567336622354,0.9920737633279728,38.882093302556385,gplsi
3,0.2542489800021293,0.9869452953945024,38.66796740096725,gplsi
3,0.0703207619873111,0.99886911575326,56.11233966536441,gplsi
3,0.2553812874940132,0.9901768845677492,53.06008979458106,gplsi
3,0.2306863588657629,0.9924156729459694,48.02010863410394,gplsi
3,0.1891958545313737,0.9940512860796312,36.26955018160699,plsi
3,0.2442217415652046,0.9901751176111832,41.479553557547966,plsi
3,0.2428826890042087,0.991399140775958,37.549883185418125,plsi
3,0.1384111723527097,0.9958721798012892,42.0580888599858,plsi
3,0.2099794058158018,0.9893802974698446,41.70114894832206,plsi
3,0.1906437441493282,0.9920737611133768,38.86605652127532,plsi
3,0.247780942517208,0.9873451205641708,38.5026742517586,plsi
3,0.0703082945430366,0.9988692817573118,56.06578848833033,plsi
3,0.2533585928353074,0.990337244220962,52.247122022075224,plsi
3,0.2285251792960205,0.9926059652492252,47.381585525293715,plsi
3,0.3022430666896922,0.9814855701574352,8.493440970123947,lda
3,0.3873015078210013,0.9663417878104796,8.842836449585802,lda
3,0.261245303565344,0.983666586729795,8.456859576867375,lda
3,0.1436598865838664,0.996263765671277,11.041922327908432,lda
3,0.2678954615120961,0.9780868057417368,9.03072566673149,lda
3,0.1503288532663673,0.9931940504260136,8.739073389509958,lda
3,0.3215032226126593,0.979427710950908,9.671757104280116,lda
3,0.2563048073262868,0.9768919888431334,9.117132740429376,lda
3,0.3718374567020657,0.970757011255508,10.50367569811309,lda
3,0.2598141338876506,0.9808512060618764,9.719011867021898,lda
4,0.0772291654531217,0.9988567421340172,182.706824962548,gplsi
4,0.1106394298524866,0.9932180831134524,128.5841372409722,gplsi
4,0.0681144934012311,0.9986679877802398,179.31083167927216,gplsi
4,0.0446722568768329,0.9995604673400448,207.98940291708692,gplsi
4,0.1243200808567289,0.9908166042506448,128.98714763161124,gplsi
4,0.0685252937556116,0.9981070909197668,190.22055650035963,gplsi
4,0.088514989684874,0.997875761573756,213.54424232642063,gplsi
4,0.0772098968906091,0.9952713765210832,153.82435433340817,gplsi
4,0.1370880480701858,0.9911809321689168,160.37126860634157,gplsi
4,0.0930870749432288,0.9979288887675044,216.97555360731477,gplsi
4,0.0759107865239503,0.9989714676188984,179.41548001747418,plsi
4,0.1145232515657243,0.99277996056929,122.67009427624104,plsi
4,0.0613963917997075,0.9988747871751956,175.24606951268302,plsi
4,0.0469173151236068,0.9995511493732184,200.48947541543257,plsi
4,0.1264084728475344,0.9909590348067364,122.58663902590388,plsi
4,0.0714698386005317,0.9980180214614204,181.51492872589856,plsi
4,0.0931539085483399,0.9977725917109628,202.4204589685799,plsi
4,0.0773480671756556,0.9954910674930186,142.9202396790246,plsi
4,0.1386084105808043,0.9915111521896816,149.00934145781423,plsi
4,0.0936809445979926,0.9979246594874176,203.886010598494,plsi
4,0.5985830578034198,0.874720976450738,5.602393839986038,lda
4,0.2307489143706612,0.9619663980583028,7.149544635204855,lda
4,0.2337240999894088,0.9732889645151016,6.311564062795479,lda
4,0.4602931748329137,0.8955672732373021,6.63533833425728,lda
4,0.5423145723259251,0.8949966829192162,5.898461475467444,lda
4,0.5578368391030705,0.9150379736411118,5.31031266934481,lda
4,0.3735329475565773,0.9545132590516868,7.33417085552848,lda
4,0.3665407061854518,0.9371598184267944,5.81712600652194,lda
4,0.4759034094405512,0.8923600061599141,6.484325284291784,lda
4,0.386846207651614,0.9490852690665872,6.533893368954705,lda
5,0.1477519874595174,0.9864228781208766,189.06554392473444,gplsi
5,0.1025935158535211,0.986162398836182,170.5469670770687,gplsi
5,0.156088721566825,0.987825288741582,161.88699599331264,gplsi
5,0.1596162342722816,0.9863466864360791,180.59394749477053,gplsi
5,0.184237518897457,0.9666226434415496,110.36861274828505,gplsi
5,0.1628374557542243,0.9710096284426186,151.71306869215547,gplsi
5,0.1651625769665896,0.974493686686136,230.68991989333563,gplsi
5,0.2306823307022441,0.95449941958889,97.95233329699532,gplsi
5,0.2365682024438398,0.9499954435290188,96.00875210775486,gplsi
5,0.0672803378036487,0.998816962324238,221.6636621146147,gplsi
5,0.146841489743123,0.9865235272365828,175.5381380138494,plsi
5,0.1045395665766995,0.9865371693651304,152.70992568513043,plsi
5,0.1569868010180463,0.9876917107060932,154.2247875047077,plsi
5,0.1621663264934956,0.9860341079209596,170.6398807664304,plsi
5,0.1859836848330185,0.9668528495924746,101.9318405109048,plsi
5,0.1633148802422175,0.971123633887154,144.8845324337459,plsi
5,0.1660571190720598,0.9743623397187604,213.7327486498076,plsi
5,0.2315830893573768,0.9550974328797232,91.58161649346329,plsi
5,0.2376256119757393,0.9503436711697024,89.87137700153866,plsi
5,0.067641546673936,0.9988200975564432,211.08850068567585,plsi
5,0.2581293717966183,0.9597387396899506,10.225739619226276,lda
5,0.2814507587844909,0.946836268037703,8.546885730604098,lda
5,0.3059563285160749,0.9501104854299852,8.481080181846847,lda
5,0.7081939564816739,0.7859644140482082,4.968395532964631,lda
5,0.1491069958073096,0.9926189114139848,8.876789125749717,lda
5,0.1828615270815781,0.9888226724215248,8.715049027997926,lda
5,0.5497502569782503,0.8673870989648286,5.637434798839894,lda
5,0.1156113273266121,0.9962286225572892,7.535900762144598,lda
5,0.4859790847719731,0.8783367337029511,5.128100297156472,lda
5,0.4941208404221024,0.8832226803354188,5.133803493244996,lda
6,0.4007248320556422,0.8784209662088068,37.671562309225344,gplsi
6,0.4049501594724911,0.857548844168416,42.3725425962989,gplsi
6,0.3522819357713391,0.8694596220277457,37.86055474485017,gplsi
6,0.3866607878230295,0.8603862391486121,56.3542756440994,gplsi
6,0.187623938401333,0.9768909541097606,56.5331437274068,gplsi
6,0.2087972001908842,0.9674788094345028,42.84076854304264,gplsi
6,0.212316205579611,0.959248186223152,65.02096002224793,gplsi
6,0.106333351677818,0.9957341968035198,54.74125634918449,gplsi
6,0.0878917560971287,0.9958706448781308,97.50397024492791,gplsi
6,0.1208778627443073,0.9943968344980578,75.49188851817883,gplsi
6,0.4058770902913718,0.8786069380162331,36.13950562907705,plsi
6,0.4056467342757441,0.8579811653930709,40.66739458975077,plsi
6,0.3538403235718132,0.869733266411274,35.86739386856527,plsi
6,0.3880839764239056,0.8608340802548194,53.36702255726001,plsi
6,0.1917371521975983,0.977055011740791,54.83982177108592,plsi
6,0.2147912227024105,0.9676028365833712,40.86201701457002,plsi
6,0.2131466589202178,0.9598037818794456,62.58387704505162,plsi
6,0.1073707619815254,0.9957163018430224,52.25662076492733,plsi
6,0.0886337529486561,0.9959588703475932,93.9909321787512,plsi
6,0.1239173523824372,0.9943396190847916,70.86414995707938,plsi
6,0.3315159178019647,0.9448796562420646,6.892072836013455,lda
6,0.400845184610429,0.8894445611047727,5.2397168881472345,lda
6,0.3223883473625381,0.9576410779055586,6.695065989226651,lda
6,0.3502607690073891,0.935860346672653,6.988075501022233,lda
6,0.2788538592341489,0.9387168848870988,6.8500658822968425,lda
6,0.1562026598388735,0.9878004235872055,8.953410220568282,lda
6,0.0680588436130532,0.9985392669116108,10.039170449859151,lda
6,0.3253432992558802,0.9157448040894344,6.286424820714562,lda
6,0.2922635796987449,0.9393414526190615,7.17404410881076,lda
6,0.1949661607334292,0.9810666628822312,9.185600452427444,lda
