K,l1_dist,cos_sim,cos_sim_ratio,method
2,0.328828001448792,0.9567103794333895,27.19411421059305,gplsi
2,0.6805658248878725,0.7158717332051099,19.570514908874223,gplsi
2,0.14428052827923143,0.9960018514759887,46.674678907314295,gplsi
2,0.2990344822552866,0.9723693409890828,37.36134959182396,gplsi
2,0.9437221872139947,0.6037837430371641,3.004596312730856,gplsi
2,0.24365225264580712,0.9754069409984628,30.478221001829038,gplsi
2,0.5914952860778022,0.8929449151566381,8.489289119394746,gplsi
2,0.7478821652160588,0.6958556306713284,9.103582405982161,gplsi
2,0.4826822053311922,0.8413120281632768,52.12194176191615,gplsi
2,0.39716411432054866,0.9593826403858828,19.878468537380396,gplsi
2,0.3330454813739766,0.9560330864609006,25.295655024272236,plsi
2,0.6760459269480764,0.7186797103007445,17.93699851302699,plsi
2,0.14072122125988312,0.9962588017854418,42.7250802645722,plsi
2,0.29162523783965155,0.9732514921773391,33.3202779141997,plsi
2,0.9421637342226483,0.6049556278969753,2.9670496378177993,plsi
2,0.24847183621580646,0.9742616357526122,29.526727890709832,plsi
2,0.5883544111958163,0.8926274302498394,8.322531358863912,plsi
2,0.7424646293025738,0.6991134189254424,9.113822920095377,plsi
2,0.47813048717275425,0.8419647229145948,47.29374954509796,plsi
2,0.39200899914675846,0.9606882742324253,19.471371268126987,plsi
2,0.13211957008664305,0.9913545217800827,6.355373519885222,lda
2,0.24514794183468608,0.962147007125854,6.777714033107104,lda
2,0.17494569661772238,0.9904036276720346,6.486208604113485,lda
2,0.16682887118752018,0.9863626237166393,6.904735720155056,lda
2,0.20331453983003378,0.9798628908521019,6.517681513251345,lda
2,0.19310022145587646,0.9839421876109032,5.961237877550327,lda
2,0.10993262933339346,0.9945276174712034,6.604442876760587,lda
2,0.2905392425944596,0.9548049431428834,6.323187092329703,lda
2,0.19844893566678806,0.9781516672063307,7.290142274180217,lda
2,0.2887132050077588,0.9690624465318864,6.103405769505397,lda
