,CELL_ID,X,Y
1042,1043,1916,766
156,157,1739,208
136,137,1796,201
84,85,1684,158
7,8,1387,49
2175,2176,1760,1420
673,674,1910,557
21,22,910,81
1399,1400,481,984
1266,1267,440,908
1311,1312,435,934
2194,2195,1190,1434
2177,2178,784,1424
1385,1386,508,973
1441,1442,496,1006
1553,1554,500,1063
1482,1483,468,1025
1512,1513,520,1039
497,498,1901,439
429,430,1857,398
190,191,1738,236
746,747,1914,600
861,862,1914,662
767,768,1896,608
11,12,1008,59
17,18,932,73
9,10,1037,53
29,30,1122,101
1226,1227,446,882
2,3,1200,24
0,1,1239,17
19,20,1165,76
12,13,1115,59
1235,1236,606,891
1260,1261,492,903
1269,1270,517,908
1297,1298,505,925
1317,1318,487,938
2180,2181,1420,1426
2191,2192,1442,1433
2043,2044,1302,1330
2082,2083,1797,1351
1923,1924,1877,1258
1865,1866,1912,1223
2100,2101,727,1363
1485,1486,569,1024
1534,1535,550,1051
1661,1662,1251,1121
1721,1722,1229,1147
201,202,1697,244
152,153,1714,208
97,98,1685,171
267,268,1710,286
257,258,1690,281
246,247,1754,275
217,218,1750,254
407,408,1712,384
389,390,1738,379
393,394,1648,379
425,426,1651,398
355,356,1632,350
287,288,1756,306
328,329,1871,333
860,861,1874,661
833,834,1895,646
874,875,1898,671
922,923,1883,698
694,695,1881,570
786,787,1798,618
836,837,1807,648
1082,1083,1587,791
426,427,1694,399
22,23,998,81
18,19,1028,76
34,35,1004,104
27,28,1039,98
614,615,559,516
586,587,480,496
627,628,436,526
1028,1029,568,760
1004,1005,565,746
179,180,816,231
532,533,865,465
89,90,759,167
126,127,734,191
205,206,736,251
185,186,743,234
253,254,754,280
228,229,777,261
271,272,735,293
286,287,1146,306
687,688,1116,567
20,21,1384,78
16,17,1434,73
38,39,1483,107
15,16,1333,72
5,6,1221,40
6,7,1194,47
14,15,1237,69
1229,1230,587,886
1222,1223,550,883
1300,1301,536,928
1016,1017,655,752
1074,1075,666,785
1194,1195,606,865
1092,1093,640,797
1302,1303,1527,928
1001,1002,1802,742
989,990,1784,738
1119,1120,1862,812
1102,1103,1634,801
1232,1233,1816,888
1511,1512,1914,1040
2174,2175,1202,1419
1753,1754,1207,1168
1767,1768,1238,1173
2198,2199,823,1437
2183,2184,820,1428
2197,2198,1555,1435
2009,2010,1851,1310
1554,1555,527,1064
1496,1497,591,1040
1694,1695,1267,1138
1745,1746,1265,1163
1379,1380,1151,971
1400,1401,1106,983
1143,1144,1163,830
1011,1012,1115,748
1003,1004,1187,745
1040,1041,1239,763
1118,1119,1539,811
189,190,1673,237
341,342,1782,338
346,347,1755,346
258,259,1806,280
184,185,1804,233
222,223,1775,257
174,175,1788,225
504,505,1783,442
327,328,1695,332
284,285,1698,304
290,291,1726,309
342,343,1715,342
352,353,1676,350
380,381,1691,372
351,352,1557,349
301,302,1822,316
277,278,1826,297
310,311,1836,319
283,284,1801,303
920,921,1821,695
887,888,1805,679
865,866,1848,665
893,894,1857,680
933,934,1857,702
975,976,1838,726
962,963,1813,721
949,950,1783,713
706,707,1799,576
634,635,1897,530
538,539,1763,467
791,792,1851,623
733,734,1807,591
712,713,1836,577
755,756,1867,601
807,808,1868,634
979,980,1616,728
1000,1001,1589,743
977,978,1601,728
824,825,1782,636
898,899,1778,683
854,855,1770,658
850,851,1085,656
890,891,1109,679
855,856,1120,659
925,926,1066,699
879,880,1069,674
928,929,1092,701
840,841,1070,650
689,690,902,568
299,300,1071,315
259,260,1126,282
212,213,1129,254
32,33,1191,102
281,282,881,302
264,265,887,286
186,187,844,234
42,43,703,114
13,14,891,68
219,220,902,255
206,207,863,250
210,211,934,255
64,65,932,140
73,74,988,148
88,89,975,164
51,52,1003,124
61,62,973,139
57,58,982,127
528,529,806,464
623,624,682,523
656,657,596,549
599,600,653,505
578,579,580,491
465,466,570,426
543,544,433,470
559,560,456,482
477,478,442,431
589,590,429,497
421,422,429,397
113,114,770,182
167,168,796,222
142,143,758,206
423,424,663,398
397,398,689,381
588,589,839,494
680,681,776,564
231,232,701,263
238,239,673,269
80,81,620,160
180,181,699,233
164,165,726,220
669,670,1438,556
552,553,1152,478
399,400,1130,382
209,210,1525,252
295,296,1264,308
96,97,1484,172
169,170,1242,225
130,131,1227,195
150,151,1256,208
168,169,1220,223
235,236,1200,267
181,182,1171,232
261,262,1184,283
204,205,1149,248
270,271,1163,291
26,27,1295,94
10,11,1312,55
4,5,1273,33
86,87,1231,160
23,24,1259,82
1276,1277,637,913
1288,1289,658,921
1281,1282,593,918
1287,1288,563,918
1358,1359,614,960
1353,1354,650,954
1303,1304,620,930
1424,1425,593,997
1270,1271,700,908
1244,1245,673,893
1308,1309,685,934
955,956,703,718
1151,1152,647,836
1127,1128,624,819
1128,1129,1618,820
1160,1161,1574,841
1189,1190,1531,860
1246,1247,1533,896
1216,1217,1519,877
1010,1011,1736,746
995,996,1758,738
1176,1177,1796,853
1136,1137,1818,824
1126,1127,1794,816
1100,1101,1764,800
1158,1159,1783,840
1582,1583,1903,1078
1589,1590,1867,1082
2008,2009,1388,1308
2196,2197,1385,1435
2181,2182,1482,1426
1930,1931,1195,1262
1810,1811,1173,1194
1665,1666,866,1122
2163,2164,831,1410
1717,1718,1538,1146
1716,1717,722,1148
1305,1306,716,931
1419,1420,1077,994
1428,1429,1131,998
1432,1433,1094,1001
1535,1536,1083,1052
1249,1250,1147,897
1250,1251,1168,897
1240,1241,1128,892
1298,1299,1148,924
728,729,1272,587
1207,1208,1149,871
918,919,1424,695
940,941,1441,707
939,940,1141,708
908,909,1135,689
953,954,1109,717
1208,1209,1288,872
1309,1310,1217,931
1241,1242,1269,893
1259,1260,1293,904
172,173,1490,223
144,145,1480,205
308,309,1585,317
332,333,1573,336
363,364,1533,356
403,404,1549,382
447,448,1545,410
401,402,1580,378
513,514,1802,452
580,581,1806,495
542,543,1792,471
521,522,1814,460
585,586,1829,495
912,913,1725,692
958,959,1744,719
882,883,1756,676
859,860,1732,661
701,702,1623,572
512,513,1676,449
857,858,1630,658
1072,1073,1047,786
1086,1087,1029,796
778,779,1150,616
800,801,1118,630
761,762,1123,604
309,310,1031,317
103,104,1151,177
65,66,1149,141
114,115,1174,181
148,149,1132,207
162,163,1085,219
110,111,1111,180
141,142,1108,206
111,112,1130,180
77,78,1109,152
226,227,854,261
254,255,859,280
131,132,834,196
39,40,892,109
92,93,932,168
685,686,646,566
820,821,734,638
734,735,692,591
756,757,727,604
539,540,534,468
492,493,520,439
493,494,545,438
574,575,512,487
581,582,550,494
517,518,485,459
345,346,465,347
344,345,704,344
658,659,722,549
686,687,698,565
582,583,762,495
551,552,783,478
540,541,767,471
561,562,740,483
601,602,731,507
506,507,620,447
577,578,622,489
535,536,591,467
432,433,632,403
498,499,663,440
473,474,647,426
463,464,681,421
750,751,475,602
796,797,488,625
771,772,435,613
748,749,419,602
739,740,453,596
814,815,461,637
486,487,703,434
514,515,750,453
560,561,720,480
631,632,836,528
122,123,680,189
60,61,664,137
71,72,713,147
153,154,702,209
487,488,1282,435
419,420,1334,396
632,633,1288,529
371,372,1275,364
451,452,1277,412
383,384,1249,374
276,277,1365,299
311,312,1349,321
266,267,1334,286
1106,1107,689,804
1279,1280,1653,917
1323,1324,1610,938
1070,1071,1677,782
1125,1126,1652,818
1144,1145,1750,828
1130,1131,1736,823
1490,1491,1786,1026
1537,1538,1804,1052
1479,1480,1852,1022
1495,1496,1820,1033
1510,1511,1863,1040
1462,1463,1888,1017
1696,1697,1896,1139
1632,1633,1902,1108
1935,1936,1461,1265
1794,1795,1463,1184
2190,2191,1357,1433
2110,2111,1481,1368
2122,2123,1461,1372
1994,1995,1170,1302
1590,1591,1151,1084
1744,1745,932,1160
