,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 2050)",1,0,0,2,5,0,6,0
"('cell', 777)",0,1,0,2,0,2,0,1
"('cell', 850)",0,1,0,4,1,2,2,0
"('cell', 1187)",6,7,0,12,1,1,7,0
"('cell', 272)",0,0,2,3,0,0,1,0
"('cell', 218)",0,0,2,4,0,4,3,0
"('cell', 250)",0,0,2,4,0,2,2,0
"('cell', 649)",0,1,1,5,1,1,4,0
"('cell', 633)",0,1,2,5,1,2,5,1
"('cell', 1995)",1,0,0,3,5,0,5,0
"('cell', 1690)",1,2,0,6,3,0,6,0
"('cell', 2453)",1,0,0,3,1,1,5,0
"('cell', 2134)",0,2,0,2,0,0,9,0
"('cell', 1415)",2,2,5,9,1,5,4,0
"('cell', 588)",1,0,0,3,1,0,3,1
"('cell', 505)",1,0,0,1,1,0,3,0
"('cell', 421)",1,0,0,0,0,1,3,0
"('cell', 462)",1,0,0,0,0,1,3,0
"('cell', 426)",1,0,0,0,0,1,3,0
"('cell', 400)",1,0,0,0,0,1,3,0
"('cell', 448)",1,0,0,0,1,1,3,0
"('cell', 409)",1,0,0,0,0,1,3,0
"('cell', 381)",1,0,0,1,0,1,2,0
"('cell', 1075)",4,4,0,14,1,2,7,0
"('cell', 988)",1,2,0,9,1,2,3,0
"('cell', 942)",1,2,0,6,1,2,2,0
"('cell', 706)",1,0,0,1,0,2,0,1
"('cell', 725)",1,0,0,2,0,2,0,1
"('cell', 732)",2,0,0,4,0,2,0,1
"('cell', 797)",2,0,0,5,0,2,0,1
"('cell', 787)",2,0,0,7,0,2,1,1
"('cell', 769)",2,0,0,5,0,2,0,1
"('cell', 821)",2,0,0,8,0,2,1,1
"('cell', 1110)",2,3,2,15,0,2,5,0
"('cell', 295)",0,0,2,3,0,2,1,0
"('cell', 341)",0,0,2,7,0,0,2,0
"('cell', 38)",0,0,0,2,2,4,3,0
"('cell', 20)",0,0,0,0,1,4,2,0
"('cell', 9)",0,0,1,1,3,3,2,0
"('cell', 632)",2,0,0,4,0,0,2,1
"('cell', 704)",2,0,0,6,0,0,1,1
"('cell', 724)",2,0,0,6,0,2,1,1
"('cell', 648)",2,0,0,5,0,0,2,1
"('cell', 610)",0,0,0,4,0,0,3,1
"('cell', 677)",0,1,2,5,1,1,4,0
"('cell', 1032)",0,0,2,9,0,0,8,0
"('cell', 1303)",0,0,2,6,4,1,9,0
"('cell', 1810)",1,2,0,6,4,0,4,0
"('cell', 1751)",1,2,0,6,4,0,5,0
"('cell', 1549)",0,1,0,5,4,0,6,0
"('cell', 1576)",0,1,0,4,2,0,4,0
"('cell', 1514)",0,1,0,5,4,0,7,0
"('cell', 1590)",0,1,0,3,3,0,2,0
"('cell', 1663)",0,2,0,5,4,0,3,0
"('cell', 2471)",1,0,0,2,1,1,5,0
"('cell', 2362)",1,1,0,4,1,2,9,0
"('cell', 2295)",0,1,0,3,1,2,8,0
"('cell', 2400)",1,1,0,4,1,2,6,0
"('cell', 2439)",1,1,0,3,2,2,8,0
"('cell', 2270)",0,0,1,3,3,0,6,0
"('cell', 2408)",1,1,0,4,2,2,8,0
"('cell', 2177)",0,2,0,2,0,1,10,0
"('cell', 582)",0,0,0,5,1,0,4,0
"('cell', 508)",0,0,0,2,1,0,4,0
"('cell', 461)",0,0,0,1,1,0,4,0
"('cell', 531)",1,0,0,3,1,0,4,0
"('cell', 1148)",3,4,1,14,1,3,6,0
"('cell', 1010)",1,3,0,6,1,1,3,0
"('cell', 653)",2,0,0,3,0,2,1,1
"('cell', 591)",1,0,0,1,0,0,2,1
"('cell', 589)",1,0,0,0,0,0,1,1
"('cell', 603)",1,0,0,1,0,1,1,1
"('cell', 594)",1,0,0,2,0,0,2,1
"('cell', 513)",1,0,0,0,0,0,3,0
"('cell', 875)",2,0,0,6,2,2,1,0
"('cell', 857)",2,0,0,8,1,2,2,1
"('cell', 919)",3,1,0,7,2,2,2,0
"('cell', 831)",0,1,0,6,1,2,1,1
"('cell', 12)",0,0,1,2,5,3,2,0
"('cell', 7)",0,0,1,1,5,3,3,0
"('cell', 84)",0,0,1,1,1,0,1,0
"('cell', 73)",0,0,1,2,3,0,2,0
"('cell', 41)",0,0,0,3,2,7,3,0
