,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 3191)",0,0,1,0,0,0,0,0
"('cell', 1189)",0,0,0,0,0,0,0,2
"('cell', 1190)",0,0,0,0,0,0,0,2
"('cell', 15)",1,1,0,0,2,0,0,0
"('cell', 36)",4,5,0,4,2,1,0,0
"('cell', 33)",4,7,0,4,2,1,0,1
"('cell', 24)",1,7,0,3,2,1,0,1
"('cell', 1278)",2,0,0,0,0,0,0,0
"('cell', 1274)",0,0,0,0,0,0,0,1
"('cell', 934)",0,0,0,0,0,0,0,3
"('cell', 219)",6,4,1,6,0,2,0,1
"('cell', 1221)",4,0,0,1,0,1,0,0
"('cell', 1547)",3,3,1,2,1,1,1,1
"('cell', 2698)",0,0,4,0,0,0,0,0
"('cell', 2571)",4,0,0,4,0,0,4,0
"('cell', 2544)",5,0,0,5,0,1,5,0
"('cell', 2285)",0,0,1,0,0,0,0,1
"('cell', 905)",0,0,0,0,0,0,0,3
"('cell', 472)",0,0,0,0,0,0,0,1
"('cell', 1201)",0,0,0,0,0,0,0,2
"('cell', 944)",0,0,0,0,0,0,0,4
"('cell', 1152)",0,0,0,0,0,0,0,4
"('cell', 1212)",0,0,0,0,0,0,0,2
"('cell', 164)",7,7,1,7,0,2,0,1
"('cell', 63)",5,5,0,6,2,2,1,1
"('cell', 1191)",3,0,0,1,0,1,0,0
"('cell', 1203)",3,0,0,0,0,1,0,0
"('cell', 1167)",8,0,0,2,0,1,0,0
"('cell', 1098)",4,0,0,2,0,1,0,0
"('cell', 1135)",7,0,0,2,0,1,0,0
"('cell', 1148)",4,0,0,2,0,1,0,0
"('cell', 1500)",1,1,0,0,0,0,0,0
"('cell', 1267)",2,0,0,1,0,0,0,0
"('cell', 1258)",6,0,0,1,0,0,0,0
"('cell', 3114)",1,2,2,1,0,0,0,0
"('cell', 3165)",1,1,1,0,1,0,0,0
"('cell', 3185)",1,0,0,3,0,0,1,0
"('cell', 2985)",0,0,3,2,1,0,0,1
"('cell', 3054)",1,0,1,3,0,1,1,0
"('cell', 3103)",0,0,1,3,1,0,1,0
"('cell', 3025)",1,0,2,3,0,1,1,0
"('cell', 2729)",1,0,3,1,0,0,0,0
"('cell', 2799)",0,0,4,0,0,0,0,1
"('cell', 2737)",0,0,4,0,0,0,0,0
"('cell', 2774)",0,0,3,0,0,0,0,0
"('cell', 2806)",0,0,2,0,0,0,0,0
"('cell', 3182)",0,0,0,0,5,0,0,0
"('cell', 3154)",0,0,0,0,4,0,0,0
"('cell', 2490)",4,0,0,4,0,1,4,0
"('cell', 2533)",4,0,0,4,0,1,4,0
"('cell', 3166)",0,0,1,0,0,0,0,0
"('cell', 3196)",0,0,1,0,0,0,0,0
"('cell', 3190)",0,0,1,0,0,0,0,0
"('cell', 3187)",0,0,1,0,0,0,0,0
"('cell', 2127)",0,0,0,2,1,0,0,3
"('cell', 2183)",0,0,0,1,0,0,0,3
"('cell', 2205)",0,0,0,1,0,0,0,6
"('cell', 2289)",0,0,0,0,0,0,0,3
"('cell', 2255)",0,0,0,0,0,0,0,1
"('cell', 2296)",0,0,1,0,0,0,0,3
"('cell', 2230)",0,0,0,1,0,0,0,1
"('cell', 2243)",0,0,0,1,0,0,0,3
"('cell', 2236)",0,0,0,0,0,0,0,7
"('cell', 2214)",0,0,0,0,1,0,0,6
"('cell', 2222)",1,0,0,2,0,0,0,1
"('cell', 2083)",1,0,0,1,0,2,1,0
"('cell', 2178)",2,0,0,2,1,1,2,0
"('cell', 2358)",0,0,1,1,0,0,1,1
"('cell', 2177)",0,0,0,1,0,0,0,0
"('cell', 44)",1,0,1,0,0,1,1,0
"('cell', 84)",3,0,1,2,0,5,2,0
"('cell', 787)",3,0,0,2,0,0,0,0
"('cell', 412)",1,3,3,5,0,0,1,0
"('cell', 23)",0,0,0,0,1,0,0,0
"('cell', 514)",0,0,0,0,0,0,0,1
"('cell', 933)",0,0,0,0,0,0,0,2
"('cell', 244)",0,3,2,3,1,3,3,0
"('cell', 6)",0,0,0,0,2,0,0,0
"('cell', 101)",0,0,1,0,2,0,0,0
"('cell', 43)",1,3,0,3,3,0,0,0
"('cell', 31)",0,1,0,0,3,0,0,0
"('cell', 21)",0,0,0,0,3,0,0,0
"('cell', 231)",1,3,1,6,1,4,3,0
"('cell', 284)",5,4,1,7,0,2,0,1
"('cell', 1649)",0,2,0,0,0,0,0,1
