,src,tgt,distance
0,786,826,21.18962010041709
1,786,753,23.345235059857504
2,786,785,19.1049731745428
3,2595,2526,58.180752831155424
4,2595,2574,69.63476143421474
5,2595,2625,49.193495504995376
6,2595,2562,28.178005607210743
7,2595,2588,21.540659228538015
8,2595,2618,21.2602916254693
9,2640,2623,42.190046219457976
10,2640,2598,38.28837943815329
11,2640,2605,26.476404589747453
12,2640,2602,32.2490309931942
13,2640,2641,37.013511046643494
14,2623,2598,30.23243291566195
15,2623,2612,19.4164878389476
16,2644,2622,13.92838827718412
17,2644,2628,31.575306807693888
18,2644,2620,17.69180601295413
19,2644,2629,27.892651361962706
20,2620,2594,23.706539182259394
21,2620,2622,18.027756377319946
22,2620,2628,18.973665961010276
23,2620,2593,25.80697580112788
24,2612,2598,29.410882339705484
25,2612,2585,21.095023109728988
26,2612,2609,18.681541692269406
27,860,910,29.068883707497267
28,860,826,18.110770276274835
29,860,892,20.248456731316587
30,860,828,37.16180835212409
31,910,826,45.35416188179427
32,910,892,21.18962010041709
33,910,938,18.439088914585774
34,826,753,43.104524124504614
35,826,828,36.124783736376884
36,826,785,34.058772731852805
37,892,938,29.68164415931166
38,892,828,43.41658669218482
39,892,919,16.278820596099706
40,938,919,31.304951684997057
41,938,956,18.384776310850235
42,938,992,25.709920264364882
43,828,785,26.92582403567252
44,828,919,47.43416490252569
45,828,914,45.12205669071391
46,828,767,44.04543109109048
47,828,823,32.38826948140329
48,785,746,24.186773244895647
49,785,753,31.144823004794873
50,785,767,39.05124837953327
51,2603,2574,18.439088914585774
52,2603,2587,26.92582403567252
53,2603,2645,38.2099463490856
54,2603,2625,33.83784863137726
55,2603,2635,32.449961479175904
56,2625,2574,44.10215414239989
57,2625,2635,12.806248474865697
58,2625,2618,58.309518948453004
59,2541,2504,36.05551275463989
60,2541,2562,34.0
61,2541,2588,40.22437072223753
62,2541,2618,63.953107821277925
63,2541,2516,24.20743687382041
64,2562,2526,46.400431032480725
65,2562,2588,18.384776310850235
66,2588,2618,24.73863375370596
67,1941,1918,35.4400902933387
68,1941,1893,25.495097567963924
69,1941,1929,23.345235059857504
70,1941,1993,35.0
71,1941,1985,27.51363298439521
72,1929,1893,38.948684188300895
73,1929,1861,32.55764119219941
74,1929,1761,86.53323061113575
75,1929,1993,32.0624390837628
76,1993,2045,28.160255680657446
77,1993,1985,30.066592756745816
78,1985,1918,43.829214001622255
79,1985,2043,31.78049716414141
80,1985,2045,36.40054944640259
81,1985,1963,42.720018726587654
82,1985,2008,34.785054261852174
83,2634,2619,14.317821063276353
84,2634,2596,30.01666203960727
85,2634,2604,50.60632371551998
86,2634,2627,27.16615541441225
87,794,814,46.69047011971501
88,1263,1211,25.317977802344327
89,1263,1272,34.36568055487916
90,1263,1335,39.11521443121589
91,1263,1309,33.83784863137726
92,1263,1241,25.495097567963924
93,2594,2622,21.18962010041709
94,2594,2593,26.0
95,2594,2573,17.4928556845359
96,2622,2573,35.05709628591621
97,2622,2629,22.80350850198276
98,2608,2628,27.018512172212592
99,2608,2631,22.090722034374522
100,2608,2593,20.8806130178211
101,2608,2597,33.24154027718932
102,2608,2584,22.67156809750927
103,2608,2624,40.24922359499622
104,2608,2563,31.064449134018133
105,2628,2631,19.026297590440446
106,2628,2593,27.16615541441225
107,2631,2624,34.23448553724738
108,2593,2573,38.07886552931954
109,2593,2563,30.805843601498726
110,2597,2552,32.984845004941285
111,2597,2604,42.1070065428546
112,2597,2584,22.20360331117452
113,2597,2624,22.20360331117452
114,2597,2572,24.758836806279895
115,2584,2552,21.470910553583888
116,2584,2563,22.02271554554524
117,2624,2604,43.382023926967726
118,1397,1423,31.38470965295043
119,1397,1516,70522.0
120,1423,1449,31.78049716414141
121,1906,1866,20.8806130178211
122,1906,1936,32.31098884280702
123,1906,1952,22.090722034374522
124,1906,1923,23.40939982143925
125,919,914,25.019992006393608
126,919,941,21.93171219946131
127,919,956,23.706539182259394
128,914,870,41.677331968349414
129,914,941,18.35755975068582
130,914,937,22.47220505424423
131,914,823,53.71219600798314
132,72,107,31.38470965295043
133,72,53,34.0147027033899
134,72,91,39.81205847478876
135,72,85,54.91812087098393
136,72,87,31.38470965295043
137,72,124,40.162171256046406
138,131,144,39.56008088970496
139,131,163,25.942243542145693
140,131,152,20.615528128088304
141,131,85,97.73944955850733
142,131,157,57.245087125446844
143,413,377,23.345235059857504
144,413,371,37.013511046643494
145,413,426,18.867962264113206
146,413,448,27.586228448267445
147,767,708,36.76955262170047
148,767,746,28.635642126552707
149,767,683,48.010415536631214
150,767,823,29.274562336608895
151,735,784,28.160255680657446
152,735,745,16.1245154965971
153,735,669,36.68787265568828
154,420,459,26.570660511172846
155,420,486,45.79301256742124
156,420,351,40.162171256046406
157,420,443,39.395431207184416
158,420,397,25.553864678361276
159,420,398,20.591260281974
160,398,389,18.384776310850235
161,398,459,36.138621999185304
162,398,351,28.442925306655784
163,398,461,36.87817782917155
164,823,870,31.304951684997057
165,823,827,21.213203435596427
166,2516,2504,36.68787265568828
167,2516,2474,30.0
168,2516,2473,30.01666203960727
169,2149,2130,34.20526275297414
170,2149,2185,31.622776601683793
171,2149,2122,19.72308292331602
172,2412,2435,17.204650534085253
173,2412,2381,21.587033144922902
174,2412,2459,25.179356624028344
175,2412,2438,30.870698080866262
176,2412,2389,30.528675044947494
177,2435,2381,32.28002478313795
178,2435,2459,22.67156809750927
179,2381,2334,28.792360097775937
180,2381,2389,31.400636936215164
181,2574,2558,30.870698080866262
182,2574,2526,58.137767414994535
183,2574,2547,23.769728648009426
184,2574,2587,30.083217912982647
185,2587,2565,23.021728866442675
186,2587,2558,21.02379604162864
187,2587,2645,38.01315561749642
188,2587,2582,23.194827009486403
189,1917,1865,26.30589287593181
190,1917,1891,31.304951684997057
191,1917,1918,21.0
192,1917,1911,45.09988913511872
193,1917,1963,24.515301344262525
194,1843,1918,34.36568055487916
195,1843,1803,16.492422502470642
196,1843,1865,21.540659228538015
197,1843,1818,22.360679774997898
198,1918,1893,26.419689627245813
199,1918,1865,36.069377593742864
200,1918,1963,28.844410203711913
201,1893,1861,42.05948168962618
202,1564,1606,20.024984394500787
203,971,920,44.204072210600685
204,971,1000,18.35755975068582
205,971,941,29.5296461204668
206,971,937,18.110770276274835
207,971,967,31.064449134018133
208,1000,1066,37.36308338453881
209,1000,1046,24.351591323771842
210,1000,1047,51.42956348249516
211,1000,967,42.37924020083418
212,941,937,28.284271247461902
213,941,967,16.76305461424021
214,941,956,27.65863337187866
215,937,870,37.12142238654117
216,937,920,34.20526275297414
217,2575,2571,21.213203435596427
218,2575,2616,30.083217912982647
219,2575,2637,44.27188724235731
220,2575,2527,42.579337712087536
221,2527,2571,41.43669871020132
222,2527,2492,26.419689627245813
223,2632,2637,18.027756377319946
224,2632,2642,22.090722034374522
225,2632,2611,35.4682957019364
226,2637,2616,25.553864678361276
227,2637,2643,37.013511046643494
228,2642,2636,15.033296378372908
229,2642,2611,25.495097567963924
230,2611,2636,26.0
231,2611,2599,26.476404589747453
232,2636,2589,57.38466694161429
233,2636,2599,33.12099032335839
234,2571,2616,34.539832078341085
235,2616,2643,20.518284528683193
236,2607,2626,36.71511950137164
237,2607,2600,15.652475842498529
238,2215,2234,41.593268686170845
239,2215,2439,127.23600119463045
240,2215,2202,18.788294228055936
241,2215,2174,35.805027579936315
242,2215,2278,57.245087125446844
243,2215,2164,26.076809620810597
244,2267,2204,35.05709628591621
245,2267,2278,20.223748416156685
246,2267,2221,35.608987629529715
247,2267,2298,18.867962264113206
248,2234,2186,22.135943621178654
249,2234,2204,30.870698080866262
250,2234,2174,30.463092423455635
251,2234,2278,21.470910553583888
252,2161,2199,24.041630560342615
253,2161,2200,17.72004514666935
254,2161,2163,25.019992006393608
255,2161,2141,21.095023109728988
256,2161,2077,35.05709628591621
257,2572,2545,23.53720459187964
258,2572,2552,28.653097563788805
259,2572,2604,32.64965543462902
260,2572,2568,29.154759474226502
261,2572,2548,22.20360331117452
262,2626,2600,30.805843601498726
263,2626,2601,22.360679774997898
264,2626,2633,30.4138126514911
265,2569,2534,31.76476034853718
266,2569,2600,22.360679774997898
267,2569,2601,25.942243542145693
268,2600,2601,22.20360331117452
269,780,808,34.539832078341085
270,780,717,37.33630940518894
271,780,809,32.64965543462902
272,780,764,31.04834939252005
273,780,821,25.079872407968907
274,780,747,35.510561809129406
275,780,744,22.825424421026653
276,874,926,28.635642126552707
277,874,809,41.14608122288197
278,874,880,23.345235059857504
279,2155,2139,24.698178070456937
280,2155,2193,35.4682957019364
281,2155,2074,38.600518131237564
282,2155,2156,23.021728866442675
283,2155,2227,31.064449134018133
284,2155,2093,38.2099463490856
285,1804,1767,17.029386365926403
286,1804,1877,26.076809620810597
287,1804,1829,20.248456731316587
288,1935,1894,25.45584412271571
289,1935,1937,26.019223662515376
290,1935,1967,21.18962010041709
291,1935,1915,21.02379604162864
292,1894,1824,37.8021163428716
293,1894,1937,20.615528128088304
294,1894,1915,38.07886552931954
295,1877,1829,28.319604517012593
296,1877,1905,17.204650534085253
297,1829,1824,24.020824298928627
298,1829,1776,27.018512172212592
299,1829,1767,31.240998703626616
300,1829,1915,39.293765408777
301,1829,1905,34.785054261852174
302,1915,1824,41.43669871020132
303,1915,1905,21.587033144922902
304,1418,1381,28.30194339616981
305,1418,1335,39.35733730830886
306,1418,1309,57.982756057296896
307,1418,1462,21.400934559032695
308,1418,1422,22.090722034374522
309,1335,1330,28.0178514522438
310,1335,1272,30.870698080866262
311,1335,1309,50.96076922496363
312,1335,1381,20.8806130178211
313,1309,1271,31.064449134018133
314,1309,1318,34.52535300326414
315,1309,1422,51.78802950489621
316,1381,1330,30.4138126514911
317,1381,1445,32.64965543462902
318,1381,1462,33.83784863137726
319,1241,1211,23.600847442411894
320,1241,1193,24.351591323771842
321,1241,1235,32.2490309931942
322,1241,1272,19.4164878389476
323,1271,1318,24.351591323771842
324,1271,1240,65.5133574166368
325,1271,1303,51.24451190127583
326,1318,1329,16.401219466856727
327,1318,1303,41.773197148410844
328,1329,1303,33.28663395418648
329,1329,1349,15.811388300841896
330,2598,2605,20.223748416156685
331,2605,2602,21.095023109728988
332,2602,2556,33.0
333,2602,2606,20.223748416156685
334,2602,2641,34.20526275297414
335,2503,2528,23.345235059857504
336,2503,2491,17.029386365926403
337,2503,2480,24.08318915758459
338,2606,2556,41.182520563948
339,2606,2641,24.020824298928627
340,2606,2567,31.953090617340916
341,2606,2610,16.0312195418814
342,2641,2645,58.008620049092706
343,2641,2610,29.154759474226502
344,2645,2582,46.52956049652737
345,2645,2610,50.24937810560445
346,2388,2416,19.697715603592208
347,2388,2408,20.518284528683193
348,2388,2280,58.034472514187634
349,2388,2384,35.05709628591621
350,2388,2293,58.180752831155424
351,2388,2393,34.23448553724738
352,2445,2465,16.0
353,2445,2436,22.561028345356956
354,2629,2573,45.617978911828175
355,2629,2579,39.395431207184416
356,2629,2639,58.309518948453004
357,2639,2579,59.39696961966999
358,2639,2617,16.278820596099706
359,2609,2585,22.627416997969522
360,2609,2581,18.788294228055936
361,2609,2617,19.209372712298546
362,2617,2581,32.2490309931942
363,1706,1810,50.08991914547278
364,1706,1676,34.0
365,1706,1602,50.00999900019995
366,1853,1866,27.459060435491963
367,1853,1881,45.69463863518345
368,1853,1810,20.808652046684813
369,1853,1899,22.02271554554524
370,1866,1923,32.2490309931942
371,1866,1899,31.064449134018133
372,1866,1850,28.160255680657446
373,1989,1936,32.69556544854363
374,1989,1952,25.0
375,1989,2012,18.439088914585774
376,1989,1968,24.596747752497688
377,1936,1952,29.732137494637012
378,1936,1968,21.02379604162864
379,1936,1900,26.92582403567252
380,162,120,31.240998703626616
381,162,205,23.08679276123039
382,162,113,31.016124838541646
383,162,193,28.30194339616981
384,162,164,27.16615541441225
385,35,56,19.0
386,35,30,16.492422502470642
387,30,52,23.769728648009426
388,30,56,28.0178514522438
389,23,14,34.88552708502482
390,23,25,22.80350850198276
391,23,13,20.615528128088304
392,23,46,41.677331968349414
393,7,39,44.204072210600685
394,7,8,36.013886210738214
395,7,4,24.186773244895647
396,7,26,31.240998703626616
397,39,82,34.0
398,39,74,43.139309220245984
399,39,25,39.11521443121589
400,39,8,37.107950630558946
401,39,57,52.20153254455275
402,39,26,53.16013544000805
403,152,197,27.892651361962706
404,152,198,32.28002478313795
405,152,163,29.732137494637012
406,152,157,38.47076812334269
407,580,579,33.015148038438355
408,580,615,23.430749027719962
409,580,535,23.853720883753127
410,501,431,41.86884283091664
411,501,509,19.697715603592208
412,501,464,18.35755975068582
413,501,553,33.52610922848042
414,665,640,14.560219778561036
415,665,696,23.323807579381203
416,665,707,21.18962010041709
