,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 2383)",0,0,2,0,0,0,0,0
"('cell', 2304)",0,0,2,3,1,2,5,2
"('cell', 890)",0,1,8,2,2,0,1,1
"('cell', 773)",0,2,1,3,1,4,0,0
"('cell', 719)",0,2,0,4,1,4,0,0
"('cell', 748)",0,2,1,2,1,2,0,0
"('cell', 771)",0,3,0,4,1,5,2,1
"('cell', 804)",0,2,1,3,1,4,2,0
"('cell', 849)",0,2,1,3,1,1,3,0
"('cell', 718)",0,1,0,4,0,5,2,0
"('cell', 744)",0,1,0,5,1,5,4,1
"('cell', 2337)",0,0,4,0,0,0,0,0
"('cell', 2246)",0,0,2,2,1,1,8,1
"('cell', 2194)",2,0,1,2,1,4,6,1
"('cell', 2223)",1,0,1,3,1,3,7,1
"('cell', 2226)",0,0,1,3,1,2,6,2
"('cell', 2198)",2,0,1,1,1,4,5,2
"('cell', 2002)",1,0,6,8,1,0,11,0
"('cell', 2349)",0,0,5,0,0,0,1,1
"('cell', 1180)",0,1,1,0,0,0,0,0
"('cell', 1306)",0,1,3,1,0,1,0,1
"('cell', 808)",1,0,0,7,1,0,6,0
"('cell', 1165)",0,1,2,0,0,0,0,0
"('cell', 2359)",0,0,4,0,0,0,0,0
"('cell', 2348)",0,0,4,1,0,0,0,0
"('cell', 764)",0,0,4,0,3,0,0,0
"('cell', 1746)",0,0,0,5,0,2,3,2
"('cell', 1696)",0,0,0,2,0,2,3,2
"('cell', 1682)",0,0,2,2,0,2,3,2
"('cell', 1666)",0,0,1,3,0,2,3,2
"('cell', 1572)",3,0,4,5,0,1,6,0
"('cell', 1067)",0,6,1,0,0,1,4,1
"('cell', 1104)",0,7,2,1,1,3,4,0
"('cell', 996)",0,5,1,3,1,0,5,0
"('cell', 989)",0,2,1,3,1,0,3,0
"('cell', 1090)",0,7,1,1,0,5,4,1
"('cell', 697)",0,1,0,3,0,4,0,0
"('cell', 2282)",0,0,8,0,0,0,0,0
"('cell', 2302)",0,0,8,0,0,0,1,1
"('cell', 2297)",0,0,7,1,0,0,4,1
"('cell', 2022)",1,0,3,1,1,2,4,1
"('cell', 1990)",1,0,4,1,1,1,4,1
"('cell', 1991)",0,0,3,2,1,1,7,1
"('cell', 2020)",1,0,3,3,1,2,6,1
"('cell', 2068)",2,0,5,8,1,5,7,0
"('cell', 2150)",0,0,7,1,1,4,9,1
"('cell', 2098)",0,0,4,4,1,5,10,0
"('cell', 2109)",0,0,7,1,1,2,8,0
"('cell', 2306)",0,0,2,2,0,0,3,1
"('cell', 2315)",0,0,2,2,1,1,4,1
"('cell', 2286)",0,0,4,2,0,0,6,1
"('cell', 2265)",0,0,5,1,0,0,4,1
"('cell', 2235)",0,0,9,1,0,1,6,1
"('cell', 2193)",0,0,8,2,1,4,9,1
"('cell', 1102)",1,0,1,2,0,4,16,1
"('cell', 1497)",0,0,4,0,0,2,0,1
"('cell', 1364)",0,1,5,0,0,0,0,0
"('cell', 1352)",0,0,3,0,0,0,0,0
"('cell', 1442)",0,0,4,0,0,2,0,0
"('cell', 1250)",0,1,1,0,0,0,0,0
"('cell', 1219)",0,1,2,0,0,0,0,0
"('cell', 1280)",0,1,1,0,0,0,0,0
"('cell', 1290)",0,2,6,0,0,0,0,0
"('cell', 1319)",0,2,6,0,0,0,0,0
"('cell', 1346)",0,2,6,0,0,0,0,0
"('cell', 1231)",0,2,4,0,0,0,0,0
"('cell', 878)",1,0,0,2,1,0,3,0
"('cell', 817)",1,0,0,4,1,0,4,0
"('cell', 919)",1,0,0,0,0,0,2,0
"('cell', 868)",2,0,0,3,0,1,5,0
"('cell', 832)",1,0,0,7,1,0,5,0
"('cell', 896)",0,0,0,2,1,0,2,0
"('cell', 802)",1,0,0,8,1,0,7,0
"('cell', 2021)",0,0,9,7,1,0,10,0
"('cell', 2062)",0,0,12,6,0,0,9,0
"('cell', 2374)",0,0,2,0,0,0,3,1
"('cell', 2361)",0,0,6,1,0,0,0,0
"('cell', 2381)",0,0,0,0,1,0,0,0
"('cell', 2364)",0,0,0,1,1,0,0,0
"('cell', 2369)",0,0,0,1,1,0,0,0
"('cell', 2382)",0,0,2,0,0,0,0,0
"('cell', 2368)",0,0,5,1,0,0,0,0
"('cell', 2114)",0,0,13,3,0,0,4,0
"('cell', 740)",0,0,1,0,5,0,0,0
"('cell', 805)",0,0,6,0,1,0,1,0
"('cell', 779)",0,0,5,0,1,0,0,0
"('cell', 545)",0,2,4,1,3,1,4,0
"('cell', 555)",0,1,4,1,3,1,4,0
"('cell', 650)",0,2,6,1,6,1,3,0
"('cell', 712)",0,0,2,0,6,0,0,0
"('cell', 606)",0,1,4,0,6,0,0,0
"('cell', 565)",0,0,6,0,1,0,2,0
"('cell', 566)",0,0,6,0,3,0,0,0
"('cell', 518)",0,0,6,0,1,0,1,0
"('cell', 629)",0,0,5,0,4,0,0,0
"('cell', 630)",0,0,3,0,6,0,0,0
"('cell', 862)",0,0,10,3,5,0,0,1
"('cell', 699)",0,0,3,0,6,0,0,0
"('cell', 1637)",0,0,3,6,0,2,0,2
"('cell', 1598)",0,0,3,5,0,2,0,2
