,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 194)",0,0,0,0,1,0,0,0
"('cell', 498)",0,0,0,2,5,0,0,0
"('cell', 17)",0,1,0,0,0,0,0,0
"('cell', 165)",0,0,0,0,1,0,0,0
"('cell', 92)",0,1,0,5,0,0,4,0
"('cell', 47)",0,1,0,2,0,0,1,0
"('cell', 202)",0,0,0,0,1,0,0,0
"('cell', 4)",0,2,0,0,0,0,1,0
"('cell', 3)",0,2,0,0,0,0,0,0
"('cell', 2)",0,2,0,0,0,0,2,0
"('cell', 29)",1,1,0,2,0,1,2,0
"('cell', 50)",1,1,0,2,0,3,4,3
"('cell', 201)",0,0,1,0,1,2,4,3
"('cell', 97)",0,0,1,0,2,0,0,0
"('cell', 79)",0,0,2,0,1,1,0,0
"('cell', 106)",0,0,0,0,2,0,0,0
"('cell', 80)",0,0,1,0,2,1,0,0
"('cell', 82)",0,0,0,0,2,0,0,0
"('cell', 110)",0,0,0,0,2,0,0,0
"('cell', 149)",0,0,0,0,1,0,0,0
"('cell', 124)",0,0,3,0,2,2,0,0
"('cell', 1034)",0,0,0,0,7,0,0,0
"('cell', 108)",0,1,0,5,0,0,5,0
"('cell', 578)",0,0,0,1,5,0,0,0
"('cell', 619)",0,0,1,2,6,0,0,0
"('cell', 601)",0,0,1,2,4,0,0,1
"('cell', 641)",0,1,1,2,6,0,0,0
"('cell', 574)",0,0,1,3,5,3,0,1
"('cell', 410)",0,0,1,1,1,0,3,0
"('cell', 236)",0,0,0,0,1,1,5,3
"('cell', 221)",0,0,1,0,1,1,4,3
"('cell', 180)",0,0,0,5,0,0,7,3
"('cell', 179)",0,0,0,6,0,0,4,3
"('cell', 5)",0,1,0,0,0,0,0,0
"('cell', 1)",0,2,0,0,0,0,0,0
"('cell', 177)",0,0,1,1,1,2,6,4
"('cell', 266)",0,0,0,0,1,1,5,3
"('cell', 238)",0,1,2,0,1,0,3,0
"('cell', 31)",1,1,0,2,0,2,2,2
"('cell', 14)",1,0,0,0,0,0,1,0
"('cell', 23)",1,1,0,0,0,0,2,1
"('cell', 34)",1,1,0,0,0,1,2,2
"('cell', 71)",0,0,2,0,1,1,0,0
"('cell', 85)",0,0,2,0,1,0,0,0
"('cell', 88)",0,0,2,0,1,0,0,0
"('cell', 56)",0,0,2,0,1,1,0,0
"('cell', 64)",0,0,3,0,1,1,0,0
"('cell', 76)",0,0,3,0,1,1,0,0
"('cell', 77)",0,0,2,0,1,1,0,0
"('cell', 74)",0,0,2,0,1,1,0,0
"('cell', 181)",0,0,1,0,2,0,1,0
"('cell', 206)",0,0,0,0,2,1,1,0
"('cell', 114)",0,0,1,0,2,0,0,0
"('cell', 104)",0,0,2,0,2,0,0,0
"('cell', 228)",0,0,1,0,1,1,2,0
"('cell', 116)",0,0,3,0,2,2,2,0
"('cell', 141)",0,0,3,0,1,0,0,0
"('cell', 117)",0,0,3,0,2,2,0,0
"('cell', 119)",0,0,4,0,1,1,0,0
"('cell', 173)",0,0,2,0,2,2,1,0
"('cell', 190)",0,0,1,0,2,1,1,0
"('cell', 143)",0,0,3,0,2,2,0,0
"('cell', 135)",0,0,4,0,2,1,0,0
"('cell', 145)",0,0,4,0,1,1,0,0
"('cell', 235)",0,0,0,0,2,1,2,0
"('cell', 254)",0,0,0,0,2,1,2,0
"('cell', 319)",0,0,0,3,4,1,2,0
"('cell', 279)",0,0,0,1,4,1,2,0
"('cell', 314)",0,0,0,3,5,1,2,0
"('cell', 420)",0,0,1,1,1,0,1,0
"('cell', 398)",0,0,0,1,1,0,1,0
"('cell', 439)",0,0,1,1,1,0,1,1
"('cell', 367)",0,0,0,2,2,2,3,0
"('cell', 395)",0,0,0,3,3,3,3,0
"('cell', 376)",0,0,0,1,2,2,3,0
"('cell', 670)",0,0,0,2,4,0,0,1
"('cell', 702)",0,0,0,1,3,0,0,0
"('cell', 1037)",0,0,0,0,8,0,0,0
"('cell', 425)",0,0,0,0,1,0,0,3
"('cell', 354)",0,0,0,3,5,3,2,0
"('cell', 403)",0,0,0,3,6,1,0,1
"('cell', 654)",0,1,1,2,6,0,0,0
"('cell', 708)",0,1,2,2,7,1,0,0
"('cell', 671)",0,0,1,2,6,0,0,0
"('cell', 1048)",0,0,1,1,1,0,0,1
"('cell', 1045)",0,0,1,1,2,0,0,1
"('cell', 558)",0,0,0,2,7,0,0,1
"('cell', 584)",0,0,1,3,7,0,0,1
"('cell', 532)",0,0,0,2,8,0,0,1
"('cell', 577)",0,0,0,2,6,0,0,0
"('cell', 495)",0,0,0,2,6,0,0,1
"('cell', 431)",0,0,0,3,3,3,3,1
"('cell', 861)",0,1,1,1,7,1,0,1
"('cell', 632)",0,1,1,2,4,0,0,1
"('cell', 607)",0,0,1,2,3,2,0,1
"('cell', 258)",0,0,0,1,0,0,4,0
"('cell', 8)",1,0,0,0,0,0,0,0
"('cell', 301)",0,1,3,0,0,0,5,0
"('cell', 67)",1,1,0,2,0,3,5,3
"('cell', 45)",1,1,0,1,0,2,4,2
"('cell', 268)",0,0,0,0,1,1,3,3
"('cell', 267)",0,1,2,0,1,0,2,0
"('cell', 275)",0,1,2,0,1,0,4,0
"('cell', 259)",0,1,2,0,1,0,3,0
"('cell', 276)",0,1,2,0,1,1,2,0
"('cell', 131)",0,0,0,1,0,3,10,5
"('cell', 241)",0,1,2,0,1,0,2,0
"('cell', 16)",0,1,2,0,0,1,2,0
"('cell', 13)",0,2,0,0,0,0,2,0
"('cell', 37)",0,2,1,0,0,0,4,0
"('cell', 75)",0,1,0,0,0,1,5,0
"('cell', 87)",0,0,2,0,1,2,3,0
"('cell', 118)",0,0,1,0,1,2,3,2
"('cell', 9)",0,2,0,0,0,0,2,0
"('cell', 6)",0,2,0,0,0,0,0,0
"('cell', 18)",0,2,0,0,0,0,4,0
"('cell', 51)",0,1,1,0,0,0,4,0
"('cell', 73)",0,0,5,0,1,1,0,0
"('cell', 174)",0,0,2,0,3,0,1,0
"('cell', 138)",0,0,2,0,2,0,1,0
"('cell', 146)",0,0,1,0,1,0,1,0
"('cell', 137)",0,0,1,0,2,0,0,0
"('cell', 157)",0,0,1,0,1,0,1,0
"('cell', 127)",0,0,1,0,2,0,0,0
"('cell', 130)",0,0,2,0,3,0,1,0
"('cell', 160)",0,0,1,0,3,0,1,0
"('cell', 134)",0,1,1,0,1,0,8,3
"('cell', 200)",0,0,1,0,2,2,1,0
"('cell', 192)",0,0,2,0,1,2,1,1
"('cell', 208)",0,0,2,0,1,1,1,1
