,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 432)",0,1,0,6,5,0,3,3
"('cell', 438)",0,1,0,6,6,0,2,2
"('cell', 491)",0,1,0,3,3,0,2,4
"('cell', 497)",0,2,0,5,4,0,2,2
"('cell', 499)",1,1,0,6,7,0,4,0
"('cell', 412)",0,1,0,8,7,0,2,0
"('cell', 547)",0,2,0,3,3,0,2,3
"('cell', 336)",1,0,0,5,5,0,1,0
"('cell', 619)",1,1,0,5,6,0,2,2
"('cell', 251)",0,0,0,0,1,0,1,0
"('cell', 2184)",1,0,1,3,2,2,8,0
"('cell', 540)",0,2,0,5,5,0,3,2
"('cell', 573)",1,2,0,5,5,0,3,1
"('cell', 1302)",1,0,0,2,0,1,5,1
"('cell', 1295)",1,0,0,2,0,3,5,3
"('cell', 1712)",0,0,1,0,3,0,0,1
"('cell', 1736)",0,0,0,0,4,0,0,1
"('cell', 1164)",3,0,0,4,1,0,0,5
"('cell', 1025)",3,0,0,3,3,0,0,16
"('cell', 1198)",1,0,0,2,2,0,0,4
"('cell', 1169)",2,0,0,2,2,0,0,6
"('cell', 1153)",3,0,0,4,3,0,0,9
"('cell', 64)",1,0,1,4,0,0,3,1
"('cell', 154)",1,1,0,7,2,0,4,1
"('cell', 274)",1,0,0,7,4,0,2,1
"('cell', 183)",0,0,0,2,1,0,1,1
"('cell', 271)",0,0,0,0,2,0,0,0
"('cell', 289)",0,0,0,0,2,0,1,0
"('cell', 440)",1,0,0,1,2,1,3,0
"('cell', 2205)",1,0,1,2,2,0,6,0
"('cell', 2213)",1,0,1,3,2,1,5,0
"('cell', 2261)",1,0,1,2,2,1,3,0
"('cell', 2249)",1,0,1,1,2,0,3,0
"('cell', 1911)",3,0,1,5,3,0,5,0
"('cell', 1866)",0,0,2,4,2,0,1,0
"('cell', 1861)",1,0,2,3,2,0,1,0
"('cell', 2039)",0,2,1,6,2,0,6,0
"('cell', 2005)",0,1,0,4,2,0,5,2
"('cell', 2014)",1,2,0,6,2,0,6,0
"('cell', 1910)",1,0,1,4,2,0,2,0
"('cell', 1923)",1,0,1,4,2,0,2,0
"('cell', 1913)",1,0,0,5,2,0,2,0
"('cell', 1947)",2,0,1,5,2,0,6,0
"('cell', 1895)",0,0,2,4,1,0,3,1
"('cell', 2030)",1,0,1,0,2,4,2,7
"('cell', 691)",1,2,0,4,3,0,4,11
"('cell', 480)",0,1,0,4,5,0,3,9
"('cell', 2410)",0,2,0,1,2,0,0,1
"('cell', 1816)",0,0,0,0,3,0,0,1
"('cell', 2195)",0,0,0,1,3,0,1,10
"('cell', 2166)",0,0,0,1,4,0,1,14
"('cell', 1571)",0,0,0,0,4,0,0,0
"('cell', 1646)",0,0,1,0,2,0,0,0
"('cell', 1665)",0,0,1,0,2,0,0,1
"('cell', 1686)",0,0,0,0,3,0,0,1
"('cell', 1535)",0,0,0,0,3,0,0,0
"('cell', 1437)",0,0,0,0,0,2,1,0
"('cell', 1396)",0,0,1,1,0,1,5,2
"('cell', 1574)",0,0,1,1,1,0,0,0
"('cell', 1551)",0,0,0,1,1,0,0,0
"('cell', 1147)",2,0,0,2,1,1,1,7
"('cell', 1148)",2,1,0,3,1,3,5,10
"('cell', 1178)",1,0,0,1,1,2,3,2
"('cell', 1187)",1,0,0,2,1,3,5,3
"('cell', 1432)",0,0,0,0,1,0,0,0
"('cell', 1407)",0,0,0,0,1,0,0,0
"('cell', 1206)",2,0,0,2,2,0,0,2
"('cell', 1140)",3,0,0,3,2,0,0,5
"('cell', 1180)",2,0,0,2,2,0,0,2
"('cell', 1218)",1,0,0,2,2,0,0,1
"('cell', 107)",1,1,1,4,0,0,3,1
"('cell', 885)",2,0,0,6,1,1,8,0
"('cell', 279)",0,0,0,0,1,0,0,0
"('cell', 326)",0,0,0,0,2,0,0,0
"('cell', 373)",0,0,0,0,2,0,0,0
"('cell', 203)",0,0,0,2,2,0,1,1
"('cell', 270)",0,0,0,0,2,0,0,1
"('cell', 300)",0,0,0,0,1,0,0,0
"('cell', 178)",0,0,0,2,1,0,1,1
"('cell', 1064)",0,0,0,3,2,2,11,1
"('cell', 420)",0,0,0,0,2,1,3,0
"('cell', 1110)",7,0,0,5,0,1,11,0
"('cell', 964)",0,0,0,4,2,3,9,0
"('cell', 969)",0,0,0,3,2,3,6,0
"('cell', 1181)",2,0,0,4,2,2,14,1
"('cell', 1211)",3,0,0,2,0,0,5,0
"('cell', 1194)",4,0,0,5,0,1,8,0
"('cell', 1208)",3,0,0,4,0,1,6,0
"('cell', 1222)",1,0,0,4,0,1,11,0
"('cell', 1248)",1,0,0,2,0,1,9,0
"('cell', 1201)",3,0,0,5,0,1,9,0
"('cell', 1209)",1,0,0,3,0,1,5,0
"('cell', 2155)",3,1,0,2,2,2,6,5
"('cell', 2135)",3,1,0,2,2,0,6,3
"('cell', 2153)",3,1,0,2,2,1,7,4
"('cell', 2171)",1,0,0,1,0,2,5,4
"('cell', 1867)",3,0,1,6,2,1,8,1
"('cell', 1889)",3,0,1,3,2,0,6,1
"('cell', 2102)",0,1,2,1,2,1,5,1
"('cell', 2075)",1,2,2,7,2,0,7,0
"('cell', 2466)",0,2,1,3,4,0,0,0
"('cell', 2200)",1,3,1,4,1,0,6,0
"('cell', 1982)",0,1,2,2,2,2,4,9
"('cell', 1850)",0,0,2,1,1,0,3,1
"('cell', 1834)",0,0,2,1,2,0,1,1
"('cell', 1855)",0,0,2,1,0,0,3,1
"('cell', 1950)",6,2,3,1,3,5,7,13
"('cell', 2069)",1,0,0,1,2,4,2,5
