,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1510)",0,0,0,0,16,0,0,0
"('cell', 2480)",0,0,0,0,5,0,1,2
"('cell', 2500)",1,0,0,1,4,1,2,2
"('cell', 2528)",0,0,0,0,6,0,2,4
"('cell', 2779)",1,2,0,2,0,0,1,1
"('cell', 1562)",0,0,0,0,15,0,0,0
"('cell', 1470)",0,0,0,0,16,0,0,0
"('cell', 2682)",0,6,0,2,5,1,0,0
"('cell', 1146)",0,0,1,4,4,1,2,0
"('cell', 996)",0,1,0,8,4,1,4,0
"('cell', 1046)",1,1,0,9,5,2,3,0
"('cell', 2453)",1,0,0,1,4,1,1,2
"('cell', 2481)",0,0,0,0,6,0,2,3
"('cell', 2792)",1,0,0,0,0,0,0,0
"('cell', 2799)",1,0,0,0,1,0,0,0
"('cell', 2786)",1,0,0,0,0,0,1,1
"('cell', 2727)",0,0,0,1,0,0,0,0
"('cell', 2761)",1,0,0,0,1,0,0,0
"('cell', 2760)",1,0,0,0,1,0,0,0
"('cell', 1401)",0,2,0,0,13,0,0,0
"('cell', 74)",0,0,0,0,1,0,0,2
"('cell', 206)",0,1,0,2,2,0,0,3
"('cell', 976)",0,0,0,0,14,0,0,0
"('cell', 1499)",0,1,0,0,10,0,0,0
"('cell', 214)",2,0,0,2,5,0,5,0
"('cell', 846)",5,0,1,5,2,1,0,0
"('cell', 542)",3,1,0,2,1,0,2,0
"('cell', 1475)",0,0,0,1,0,0,0,0
"('cell', 1010)",1,1,2,8,5,1,2,0
"('cell', 196)",5,3,2,2,3,1,2,0
"('cell', 2706)",0,4,0,1,3,1,0,0
"('cell', 2653)",3,1,0,1,1,0,0,0
"('cell', 2635)",5,1,0,3,1,0,0,0
"('cell', 2676)",1,4,0,0,3,1,0,0
"('cell', 2713)",0,4,0,0,3,1,0,0
"('cell', 2733)",0,3,0,0,0,0,0,0
"('cell', 2775)",0,2,0,1,0,0,0,0
"('cell', 2751)",0,3,0,0,0,0,0,0
"('cell', 2701)",0,4,0,1,1,0,0,0
"('cell', 1417)",2,0,0,4,1,0,2,0
"('cell', 1396)",2,0,0,4,1,0,2,0
"('cell', 1397)",2,0,0,2,0,0,1,0
"('cell', 1594)",0,0,0,2,1,0,0,0
"('cell', 1650)",1,1,0,4,1,0,0,0
"('cell', 1703)",1,2,1,4,1,0,0,0
"('cell', 921)",0,3,0,8,2,1,2,0
"('cell', 979)",0,1,0,8,4,1,3,0
"('cell', 1002)",0,1,0,4,4,1,2,0
"('cell', 1059)",0,1,0,5,4,1,2,0
"('cell', 1471)",2,6,5,8,4,1,0,0
"('cell', 1134)",1,1,1,10,4,1,0,0
"('cell', 1429)",2,7,6,8,2,2,1,0
"('cell', 1288)",2,3,7,6,1,0,0,0
"('cell', 1776)",0,0,0,0,15,0,0,0
"('cell', 2442)",4,1,0,1,2,2,1,2
"('cell', 2468)",1,0,0,1,3,1,1,2
"('cell', 2435)",1,0,0,1,1,1,1,2
"('cell', 2747)",1,0,0,1,0,0,0,0
"('cell', 2630)",1,2,0,4,0,1,1,4
"('cell', 2598)",0,3,1,6,0,1,1,4
"('cell', 2588)",0,2,1,6,0,1,1,4
"('cell', 2567)",0,1,1,4,0,1,1,4
"('cell', 1313)",0,0,0,0,17,0,0,0
"('cell', 38)",0,0,0,0,1,0,0,2
"('cell', 983)",0,1,0,0,9,1,0,0
"('cell', 656)",0,0,0,2,3,0,1,0
