,CELL_ID,X,Y
587,588,1780,491
298,299,1704,302
99,100,1488,129
595,596,1751,501
55,56,583,91
241,242,419,260
1921,1922,413,1215
1955,1956,406,1234
220,221,1676,240
272,273,1683,280
190,191,1644,212
487,488,1721,428
546,547,1733,464
414,415,1727,373
433,434,1725,389
371,372,1723,345
524,525,1765,451
336,337,1724,323
109,110,1505,139
217,218,1535,238
172,173,1626,193
144,145,1631,171
131,132,1518,158
768,769,1323,645
632,633,263,543
440,441,343,392
355,356,408,336
264,265,395,275
384,385,331,360
340,341,457,327
311,312,434,311
258,259,443,271
1122,1123,251,822
118,119,554,146
545,546,632,463
1696,1697,559,1091
2138,2139,573,1351
1875,1876,395,1191
744,745,1814,627
753,754,1749,640
769,770,1722,645
257,258,1534,267
254,255,1658,265
320,321,1677,312
396,397,1685,361
352,353,1666,335
305,306,1645,307
226,227,1580,247
218,219,1619,238
235,236,1555,256
583,584,1720,490
186,187,1496,206
180,181,1517,199
199,200,1533,219
143,144,1570,171
210,211,1570,228
173,174,1538,196
149,150,1592,175
153,154,1532,176
94,95,1564,124
115,116,1594,140
654,655,1462,564
657,658,1481,570
611,612,1453,514
598,599,1428,505
171,172,1476,193
577,578,1469,486
636,637,1486,547
578,579,1510,486
602,603,1499,507
635,636,1520,545
923,924,1428,735
1117,1118,1327,820
1022,1023,1363,776
755,756,1273,639
777,778,1350,656
759,760,1395,640
806,807,1374,669
756,757,1694,640
656,657,1687,569
637,638,1717,547
687,688,1702,590
647,648,1729,559
631,632,1683,543
534,535,1539,458
579,580,1586,489
590,591,1567,496
588,589,1546,493
848,849,1692,694
468,469,305,414
522,523,288,451
628,629,487,541
1187,1188,460,856
977,978,288,756
1128,1129,270,822
991,992,308,766
1204,1205,399,862
616,617,406,527
618,619,385,530
593,594,309,501
563,564,298,476
661,662,253,574
643,644,255,556
1579,1580,607,1035
1065,1066,1239,795
1155,1156,733,836
943,944,493,743
1071,1072,463,798
1144,1145,448,836
23,24,782,43
68,69,609,98
65,66,594,95
59,60,634,92
42,43,615,76
85,86,582,120
317,318,701,312
2239,2240,1131,1432
2246,2247,1040,1435
2174,2175,1102,1381
1847,1848,380,1175
2213,2214,888,1413
2237,2238,863,1432
2240,2241,995,1433
2178,2179,942,1384
2156,2157,935,1365
2212,2213,618,1412
2205,2206,635,1409
2215,2216,678,1413
2207,2208,655,1409
2155,2156,599,1365
2116,2117,593,1340
2192,2193,625,1396
2179,2180,604,1385
2007,2008,451,1268
2097,2098,572,1326
386,387,1627,357
555,556,1582,469
634,635,1426,545
667,668,1430,576
64,65,1491,93
83,84,1467,117
67,68,1451,96
62,63,1317,93
2244,2245,1208,1436
1451,1452,1677,969
1384,1385,1787,937
1494,1495,1685,988
1792,1793,1709,1143
1839,1840,1705,1170
1806,1807,1677,1149
1779,1780,1653,1138
2020,2021,1599,1276
2113,2114,1568,1335
2016,2017,1650,1271
1917,1918,1627,1213
1800,1801,1621,1146
1794,1795,1595,1144
1864,1865,1612,1181
1644,1645,1507,1064
691,692,1495,596
685,686,1446,592
696,697,1416,599
749,750,1551,637
612,613,1300,516
639,640,1326,551
826,827,1399,683
897,898,1406,720
885,886,1492,717
1162,1163,1349,841
1107,1108,1354,814
1067,1068,1372,796
1066,1067,1334,795
835,836,1304,686
787,788,1289,660
786,787,1265,661
915,916,1354,727
935,936,1372,738
816,817,1324,677
976,977,1369,756
997,998,1341,765
872,873,1308,711
934,935,1332,738
491,492,1538,430
288,289,1539,295
781,782,1669,658
589,590,1656,493
615,616,1676,522
608,609,1655,514
537,538,1668,461
562,563,1650,472
609,610,1700,513
607,608,1623,513
556,557,1625,471
586,587,1612,493
789,790,1857,660
1054,1055,1642,789
1342,1343,1773,919
719,720,1513,617
961,962,1662,750
941,942,1697,741
1020,1021,1681,774
1000,1001,1642,768
815,816,1651,677
807,808,1605,669
979,980,1622,758
936,937,1640,738
866,867,1631,706
877,878,1599,713
603,604,397,507
477,478,369,425
463,464,344,413
547,548,395,465
518,519,384,451
601,602,465,507
599,600,492,505
364,365,610,342
275,276,583,286
392,393,488,363
645,646,504,557
619,620,524,532
693,694,511,597
652,653,530,562
663,664,471,576
653,654,409,564
658,659,449,570
640,641,427,552
732,733,488,624
717,718,511,614
1332,1333,277,916
1298,1299,276,900
887,888,261,718
808,809,294,670
838,839,308,687
867,868,286,710
817,818,256,680
783,784,275,663
1192,1193,267,858
1167,1168,259,843
1154,1155,285,836
1230,1231,264,873
1265,1266,291,885
904,905,315,724
862,863,322,700
1183,1184,332,853
1159,1160,310,840
1269,1270,318,887
