,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 39)",0,0,0,0,6,0,0,0
"('cell', 368)",1,0,0,4,2,5,3,0
"('cell', 15)",0,0,0,0,6,0,0,0
"('cell', 1539)",0,0,4,5,19,0,0,0
"('cell', 874)",0,0,0,0,2,0,1,0
"('cell', 77)",0,0,0,0,2,0,0,0
"('cell', 61)",0,0,0,0,2,0,0,0
"('cell', 45)",0,0,0,0,3,0,0,0
"('cell', 28)",0,0,0,0,2,0,0,0
"('cell', 62)",0,0,0,0,2,0,0,0
"('cell', 73)",0,0,0,0,2,0,0,0
"('cell', 80)",0,0,0,0,2,0,0,0
"('cell', 38)",0,0,0,0,3,0,0,0
"('cell', 213)",0,0,0,1,4,0,0,0
"('cell', 325)",0,1,0,2,5,0,0,0
"('cell', 233)",0,0,0,0,4,0,0,0
"('cell', 1547)",0,0,0,0,5,0,0,0
"('cell', 1003)",0,0,0,0,3,0,0,0
"('cell', 889)",0,0,0,0,3,0,2,0
"('cell', 991)",0,0,0,0,5,0,0,0
"('cell', 358)",0,1,0,4,5,0,0,0
"('cell', 396)",0,2,0,6,4,0,3,0
"('cell', 2157)",0,0,0,1,16,0,0,0
"('cell', 708)",0,0,0,3,7,1,1,0
"('cell', 1591)",0,0,1,0,14,0,0,0
"('cell', 1649)",0,0,3,0,13,0,0,0
"('cell', 1616)",0,0,4,1,16,0,0,0
"('cell', 774)",0,0,0,0,7,0,2,0
"('cell', 730)",0,0,0,1,7,0,2,0
"('cell', 833)",0,0,0,0,10,0,1,0
"('cell', 789)",0,0,0,0,2,0,2,0
"('cell', 818)",0,0,0,0,5,0,1,0
"('cell', 740)",0,0,0,0,4,0,2,0
"('cell', 718)",0,0,0,0,5,0,2,0
"('cell', 795)",0,0,0,0,5,0,2,0
"('cell', 927)",0,0,0,0,6,0,0,0
"('cell', 880)",0,0,0,0,6,0,0,0
"('cell', 859)",0,0,0,0,4,0,1,0
"('cell', 919)",0,0,0,0,4,0,1,0
"('cell', 17)",0,0,0,0,2,0,0,0
"('cell', 195)",0,0,0,1,1,0,0,0
"('cell', 139)",0,0,0,0,2,0,0,0
"('cell', 103)",0,0,0,0,2,0,0,0
"('cell', 123)",0,0,0,0,2,0,0,0
"('cell', 177)",0,0,0,0,1,0,0,0
"('cell', 86)",0,0,0,0,2,0,0,0
"('cell', 67)",0,0,0,0,2,0,0,0
"('cell', 50)",0,0,0,0,8,0,0,0
"('cell', 258)",0,0,0,2,5,0,0,0
"('cell', 40)",0,0,0,0,9,0,0,1
"('cell', 29)",0,0,0,0,7,0,0,1
"('cell', 1572)",0,0,0,2,3,1,1,0
"('cell', 2427)",0,0,0,0,3,0,0,2
"('cell', 2564)",0,0,0,0,9,0,0,1
"('cell', 2547)",0,0,0,0,9,0,0,0
"('cell', 2475)",0,0,0,0,6,0,0,2
"('cell', 2497)",0,0,1,0,8,0,0,0
"('cell', 1042)",0,0,0,0,2,0,0,0
"('cell', 947)",0,0,0,0,6,0,0,0
"('cell', 426)",0,1,0,4,3,0,2,0
"('cell', 1163)",0,0,0,0,7,0,0,0
"('cell', 989)",3,1,0,1,7,1,1,0
"('cell', 981)",0,1,0,0,6,0,0,0
"('cell', 959)",3,1,0,1,7,0,0,0
"('cell', 2463)",0,0,0,0,3,0,0,2
"('cell', 2563)",0,0,0,0,2,0,0,0
"('cell', 2531)",0,0,0,0,4,0,0,1
"('cell', 1657)",0,0,1,0,14,0,0,0
"('cell', 1660)",0,0,0,0,11,0,0,0
"('cell', 1922)",0,0,0,0,15,0,0,1
"('cell', 2001)",0,0,0,0,12,0,0,0
"('cell', 2014)",0,0,0,0,12,0,0,0
"('cell', 1966)",0,0,0,0,12,0,0,0
"('cell', 2094)",0,0,0,0,11,0,0,1
"('cell', 2086)",0,0,0,0,14,0,0,0
"('cell', 1999)",0,0,0,0,13,0,0,0
