,CELL_ID,X,Y
2271,2272,578,1433
2259,2260,567,1424
1202,1203,1545,754
2256,2257,538,1421
1378,1379,156,843
967,968,167,635
2257,2258,893,1419
2215,2216,904,1387
830,831,1692,561
1523,1524,1724,924
1598,1599,1737,966
1469,1470,1735,897
1851,1852,1663,1132
1876,1877,1661,1150
1900,1901,1651,1166
1948,1949,1651,1203
2224,2225,463,1394
1266,1267,135,785
1296,1297,142,802
1325,1326,140,818
1384,1385,135,847
1443,1444,163,879
2199,2200,451,1373
2194,2195,434,1375
1251,1252,1512,779
860,861,213,576
907,908,160,598
813,814,235,554
1155,1156,231,731
1168,1169,153,737
1183,1184,178,747
1160,1161,173,732
1200,1201,139,755
1239,1240,155,769
1000,1001,223,653
934,935,216,615
977,978,200,639
1023,1024,203,667
1064,1065,201,688
1063,1064,150,685
996,997,156,652
1035,1036,167,670
1106,1107,163,707
1153,1154,133,730
968,969,143,636
490,491,224,387
2266,2267,996,1429
2274,2275,920,1432
1166,1167,1538,736
1237,1238,1527,767
1724,1725,1714,1046
1677,1678,1721,1015
1446,1447,1720,880
1340,1341,1713,825
1333,1334,1736,824
1393,1394,1688,850
1383,1384,1710,846
1501,1502,1698,913
1609,1610,1723,968
1562,1563,1720,946
1186,1187,1605,747
1083,1084,1605,696
1903,1904,1628,1169
1928,1929,1639,1186
1927,1928,1617,1186
1872,1873,1628,1148
1896,1897,1616,1163
1866,1867,1642,1139
1966,1967,1602,1212
2183,2184,475,1365
2228,2229,482,1396
2239,2240,508,1406
2245,2246,524,1412
2120,2121,497,1319
2142,2143,476,1338
1252,1253,198,778
1217,1218,217,761
1206,1207,189,758
1299,1300,185,808
1270,1271,171,788
646,647,327,467
694,695,449,490
2171,2172,447,1353
2191,2192,420,1368
2136,2137,379,1329
982,983,987,639
2192,2193,936,1369
1247,1248,1560,774
1293,1294,1521,799
26,27,524,58
576,577,335,436
2210,2211,947,1384
2255,2256,945,1420
2235,2236,922,1403
1131,1132,1556,718
1119,1120,1594,713
1127,1128,1526,716
941,942,888,618
988,989,1641,644
916,917,1644,602
1726,1727,1649,1044
1776,1777,1680,1077
1736,1737,1664,1055
1748,1749,1696,1062
1746,1747,1654,1062
1807,1808,1678,1102
1343,1344,1525,825
1568,1569,1637,950
1608,1609,1641,969
1468,1469,1667,895
1536,1537,1666,933
1506,1507,1679,917
1553,1554,1684,940
1565,1566,1656,948
1500,1501,1655,913
1525,1526,1643,926
1670,1671,1671,1010
1633,1634,1653,986
1676,1677,1647,1014
1710,1711,1670,1035
1701,1702,1692,1032
1629,1630,1697,982
1655,1656,1689,1002
1620,1621,1678,978
1581,1582,1675,956
1656,1657,1707,1002
1631,1632,1717,986
1779,1780,1655,1080
1812,1813,1644,1104
1754,1755,1641,1068
1816,1817,1626,1106
1917,1918,1600,1179
1944,1945,1581,1197
1869,1870,1610,1142
1786,1787,1629,1085
1998,1999,1613,1241
2231,2232,549,1400
2184,2185,903,1365
2244,2245,669,1410
2162,2163,863,1349
2214,2215,865,1386
2172,2173,880,1353
1497,1498,156,914
1547,1548,170,938
1289,1290,222,799
1038,1039,395,672
626,627,454,457
535,536,440,408
509,510,465,395
729,730,480,507
664,665,472,479
2089,2090,471,1298
2108,2109,478,1312
2072,2073,497,1289
2107,2108,446,1309
2019,2020,397,1249
2030,2031,408,1262
2034,2035,383,1262
1956,1957,400,1209
2003,2004,430,1244
953,954,931,623
969,970,891,636
998,999,879,653
2139,2140,940,1333
2269,2270,970,1432
989,990,847,646
12,13,558,37
21,22,545,56
37,38,535,77
304,305,536,274
332,333,532,294
438,439,465,359
445,446,623,362
49,50,500,86
36,37,514,74
365,366,386,315
373,374,274,320
497,498,349,389
538,539,350,411
544,545,332,415
463,464,372,370
2232,2233,982,1400
2236,2237,955,1402
2251,2252,974,1415
1109,1110,1567,707
1091,1092,1535,697
471,472,490,375
707,708,767,496
701,702,786,494
911,912,873,598
923,924,853,607
811,812,457,551
750,751,328,517
334,335,695,293
856,857,1673,574
810,811,1675,548
915,916,1601,601
933,934,1579,612
922,923,1626,607
964,965,1601,632
867,868,1637,576
884,885,1614,586
207,208,1375,203
958,959,963,630
926,927,938,610
866,867,1255,577
820,821,1244,556
1027,1028,1573,666
1076,1077,1575,691
1046,1047,1594,676
995,996,1582,649
1055,1056,1547,680
1003,1004,1552,654
976,977,1568,637
1895,1896,1574,1164
1888,1889,1588,1161
1880,1881,1601,1155
1836,1837,1613,1121
1850,1851,1596,1131
2057,2058,1572,1277
2038,2039,1603,1264
2103,2104,1562,1306
2146,2147,923,1337
2156,2157,895,1344
2241,2242,693,1406
2208,2209,807,1383
2242,2243,727,1405
2260,2261,714,1424
2229,2230,711,1399
1451,1452,200,887
1449,1450,179,886
1407,1408,190,858
1398,1399,270,853
1569,1570,213,950
1522,1523,182,924
1365,1366,298,837
1424,1425,341,868
1385,1386,342,847
1376,1377,406,842
1416,1417,403,861
1371,1372,450,841
1395,1396,420,853
1095,1096,376,702
1223,1224,284,766
1125,1126,240,716
1100,1101,252,703
1210,1211,238,758
1040,1041,280,673
1065,1066,409,687
513,514,493,396
1450,1451,509,885
1413,1414,443,861
1558,1559,440,945
1426,1427,544,870
1414,1415,503,859
1362,1363,476,838
1957,1958,497,1208
1964,1965,428,1213
1847,1848,434,1131
2054,2055,354,1277
2051,2052,370,1273
2085,2086,366,1294
2029,2030,339,1263
2106,2107,367,1311
1019,1020,991,665
973,974,947,637
999,1000,969,652
1033,1034,968,670
1307,1308,1502,808
1265,1266,1500,785
1113,1114,839,709
1256,1257,812,779
1086,1087,851,696
1044,1045,886,676
1135,1136,855,721
1071,1072,887,692
1045,1046,1097,675
974,975,1203,638
1013,1014,1075,663
44,45,696,81
64,65,699,96
13,14,586,39
55,56,554,88
360,361,457,312
320,321,507,281
344,345,506,299
368,369,525,318
369,370,540,321
