,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 27)",0,2,0,8,0,0,4,0
"('cell', 368)",2,0,0,12,1,1,5,1
"('cell', 2187)",2,0,0,1,1,0,5,0
"('cell', 2089)",7,0,0,4,1,1,14,0
"('cell', 356)",4,0,0,12,1,1,8,0
"('cell', 408)",4,1,0,13,1,1,6,1
"('cell', 117)",2,2,0,7,0,1,6,0
"('cell', 265)",3,0,0,10,0,1,7,0
"('cell', 2181)",4,0,0,7,0,0,2,2
"('cell', 2132)",6,5,0,6,0,0,9,1
"('cell', 1419)",3,3,0,5,0,3,14,2
"('cell', 1008)",3,2,0,4,0,1,4,0
"('cell', 759)",4,0,1,2,1,6,1,0
"('cell', 728)",4,0,1,5,1,6,4,0
"('cell', 158)",3,3,0,11,0,1,7,0
"('cell', 1370)",16,1,0,7,0,3,4,0
"('cell', 2160)",4,0,0,8,0,0,2,0
"('cell', 2175)",3,0,0,3,0,0,2,0
"('cell', 2194)",0,0,0,1,1,0,5,0
"('cell', 2189)",5,0,0,6,0,0,0,0
"('cell', 2193)",3,0,0,5,0,0,0,0
"('cell', 2190)",5,0,0,6,0,0,0,0
"('cell', 2018)",3,2,0,7,0,3,7,0
"('cell', 2110)",5,0,0,4,1,0,8,0
"('cell', 2133)",7,0,0,4,1,1,8,0
"('cell', 2135)",7,0,0,5,1,1,5,0
"('cell', 1569)",4,1,0,13,1,2,1,0
"('cell', 1750)",2,2,0,13,0,2,4,2
"('cell', 1721)",2,1,0,15,0,3,3,1
"('cell', 366)",3,0,0,12,1,1,7,0
"('cell', 427)",4,2,0,10,1,0,4,0
"('cell', 322)",2,0,0,10,1,1,8,0
"('cell', 365)",3,0,0,11,1,0,9,0
"('cell', 273)",3,0,0,5,1,0,10,0
"('cell', 924)",9,5,1,6,1,0,5,6
"('cell', 814)",9,5,1,6,1,0,4,6
"('cell', 813)",5,2,0,4,0,0,3,4
"('cell', 775)",7,6,0,7,0,0,3,5
"('cell', 611)",3,3,0,16,1,0,2,1
"('cell', 636)",5,2,0,11,1,0,2,2
"('cell', 693)",6,3,0,6,1,0,2,1
"('cell', 799)",7,4,1,7,1,0,2,1
"('cell', 706)",7,3,0,11,1,0,2,3
"('cell', 524)",8,2,0,13,0,0,4,1
"('cell', 499)",7,2,0,12,1,0,6,1
"('cell', 448)",6,2,0,14,1,0,6,1
"('cell', 1596)",5,1,0,13,1,2,3,0
"('cell', 1295)",19,0,0,9,0,1,5,0
"('cell', 2145)",4,0,0,10,0,0,2,1
"('cell', 2185)",4,0,0,7,0,0,2,0
"('cell', 1689)",7,1,1,6,0,1,4,1
"('cell', 1211)",14,7,1,4,1,0,10,3
"('cell', 1404)",8,2,0,8,0,0,6,5
"('cell', 1212)",12,4,0,6,1,0,6,2
"('cell', 24)",1,4,0,4,2,0,5,0
"('cell', 10)",0,2,0,2,2,0,3,0
"('cell', 108)",0,4,0,8,2,1,6,0
"('cell', 161)",0,3,0,10,1,1,10,0
"('cell', 196)",0,4,0,5,1,1,9,1
"('cell', 198)",0,0,0,9,1,2,8,0
"('cell', 173)",0,2,0,10,1,1,9,0
"('cell', 740)",1,1,0,17,0,0,7,2
"('cell', 984)",3,2,0,7,0,3,5,0
"('cell', 840)",3,1,0,5,0,2,4,0
"('cell', 889)",3,1,0,7,0,1,4,0
"('cell', 904)",3,2,0,5,0,3,2,0
"('cell', 929)",3,1,0,2,0,2,3,0
"('cell', 1029)",1,2,0,9,1,2,5,0
"('cell', 975)",3,2,0,11,0,3,4,0
"('cell', 1443)",0,0,0,2,0,0,4,0
"('cell', 815)",3,5,0,6,3,2,8,1
"('cell', 1364)",12,2,0,6,0,2,2,0
"('cell', 1355)",14,1,0,8,0,3,3,0
"('cell', 1232)",3,3,0,10,0,2,4,1
"('cell', 1226)",4,3,0,12,0,4,3,1
"('cell', 804)",9,2,2,3,1,6,1,0
"('cell', 858)",7,1,2,2,1,5,3,1
"('cell', 877)",10,3,2,2,1,5,4,1
"('cell', 811)",5,0,2,3,1,3,2,1
