,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 180)",0,0,1,0,6,0,1,1
"('cell', 838)",0,0,0,0,1,0,0,4
"('cell', 2158)",0,0,0,6,1,3,6,2
"('cell', 504)",0,0,1,0,1,0,2,0
"('cell', 496)",0,0,0,0,0,0,1,0
"('cell', 553)",0,0,1,0,0,0,2,0
"('cell', 506)",0,0,1,0,0,0,1,0
"('cell', 644)",0,0,0,5,0,1,3,0
"('cell', 1312)",0,0,0,0,2,1,1,4
"('cell', 778)",0,0,0,0,3,0,0,6
"('cell', 786)",0,0,1,0,6,0,0,1
"('cell', 2090)",0,0,0,1,0,2,3,6
"('cell', 2082)",0,0,0,0,0,1,0,4
"('cell', 2282)",1,0,0,4,1,0,4,3
"('cell', 2121)",0,0,0,6,1,1,6,4
"('cell', 2265)",0,0,0,1,1,0,2,2
"('cell', 2262)",0,0,0,2,0,2,1,1
"('cell', 2271)",0,0,0,3,0,2,1,1
"('cell', 1139)",0,0,1,2,1,0,0,1
"('cell', 2240)",0,0,0,7,1,1,4,2
"('cell', 2269)",1,0,0,4,1,1,4,0
"('cell', 2207)",0,0,0,6,1,3,6,2
"('cell', 2276)",0,0,0,5,1,1,4,1
"('cell', 155)",0,0,1,0,5,0,0,0
"('cell', 183)",0,0,1,0,5,0,0,0
"('cell', 153)",0,0,1,0,6,0,1,1
"('cell', 57)",0,0,1,1,2,2,4,0
"('cell', 1090)",0,0,1,1,1,0,0,1
"('cell', 805)",0,0,0,0,1,0,0,4
"('cell', 1616)",1,0,0,5,3,6,4,0
"('cell', 1567)",0,0,0,9,1,0,16,1
"('cell', 1806)",0,1,0,4,0,1,2,3
"('cell', 1835)",0,1,0,6,0,3,7,3
"('cell', 1942)",3,1,0,13,0,2,7,3
"('cell', 1887)",1,0,0,14,0,0,6,3
"('cell', 2052)",0,0,0,4,0,1,4,4
"('cell', 2066)",0,0,0,6,0,2,2,3
"('cell', 2202)",3,1,0,6,0,2,5,3
"('cell', 146)",0,0,1,2,2,0,0,0
"('cell', 472)",0,0,1,0,1,0,1,0
"('cell', 444)",0,0,1,0,1,0,1,0
"('cell', 698)",0,0,0,3,2,1,2,0
"('cell', 979)",0,0,0,9,1,5,4,2
"('cell', 663)",0,0,0,2,0,1,2,0
"('cell', 993)",0,0,0,6,1,3,5,1
"('cell', 869)",0,0,0,5,1,2,3,1
"('cell', 1359)",0,0,0,0,2,1,1,4
"('cell', 575)",0,0,1,0,15,0,0,3
"('cell', 706)",0,0,1,0,10,0,0,0
"('cell', 740)",0,0,1,0,7,0,0,0
"('cell', 715)",0,0,1,0,12,0,0,0
"('cell', 1381)",0,0,1,0,0,2,0,0
"('cell', 1450)",0,0,0,3,1,2,1,0
"('cell', 2272)",0,0,0,4,0,2,2,1
"('cell', 2206)",0,0,0,1,0,0,0,2
"('cell', 2230)",0,0,0,2,0,1,1,2
"('cell', 2249)",0,0,0,2,0,0,0,1
"('cell', 2277)",0,0,0,1,0,1,1,3
"('cell', 2176)",0,0,0,1,4,5,2,6
"('cell', 2162)",0,0,0,1,4,5,4,9
"('cell', 2130)",0,0,0,1,5,1,0,4
"('cell', 1859)",0,0,0,1,11,1,0,3
"('cell', 1961)",0,0,0,1,8,1,0,2
"('cell', 1871)",0,0,0,0,7,0,0,3
"('cell', 1821)",0,0,0,0,10,0,0,3
"('cell', 2154)",0,0,0,2,6,5,3,6
"('cell', 1948)",0,0,0,1,0,1,4,6
"('cell', 2125)",0,0,0,1,0,2,3,4
"('cell', 2132)",0,0,0,4,0,2,4,8
"('cell', 2222)",0,0,0,3,0,1,1,4
"('cell', 2159)",0,0,0,1,0,0,0,4
"('cell', 2085)",0,0,0,0,0,0,0,6
"('cell', 2149)",0,0,0,0,0,1,0,6
"('cell', 2134)",0,0,0,0,0,1,0,5
"('cell', 2099)",0,0,0,1,0,2,4,8
"('cell', 2123)",0,0,0,2,0,2,5,10
"('cell', 1874)",0,0,0,3,1,3,8,3
"('cell', 2273)",0,0,0,1,1,1,2,2
"('cell', 2246)",1,0,0,5,1,0,4,0
"('cell', 2214)",1,0,0,7,1,0,6,2
"('cell', 2275)",1,0,0,5,1,0,4,1
"('cell', 2256)",1,0,0,4,1,0,3,0
"('cell', 2250)",1,0,0,6,1,0,5,1
"('cell', 2185)",1,0,0,7,1,1,6,5
"('cell', 2124)",0,0,0,4,1,1,5,5
"('cell', 2172)",1,0,0,4,1,2,7,9
"('cell', 2169)",1,0,0,4,0,2,8,13
"('cell', 2179)",0,0,0,2,1,0,6,6
"('cell', 2160)",0,0,0,3,1,1,9,9
"('cell', 1640)",1,0,0,5,3,7,4,0
"('cell', 1646)",1,0,0,3,2,6,9,2
"('cell', 2208)",0,0,0,1,0,2,1,3
"('cell', 2237)",0,0,0,2,0,2,1,2
"('cell', 2231)",0,0,0,2,0,2,1,1
"('cell', 1919)",0,0,0,7,1,1,16,4
"('cell', 1885)",0,0,0,6,1,2,11,5
"('cell', 1802)",0,0,0,3,1,2,7,3
"('cell', 1615)",1,0,0,4,4,6,3,0
"('cell', 1759)",0,0,1,3,2,3,5,2
"('cell', 358)",0,0,2,0,8,0,0,0
"('cell', 197)",0,0,1,0,6,0,0,0
"('cell', 319)",0,0,0,0,8,0,1,2
"('cell', 262)",0,0,0,0,8,0,1,2
"('cell', 230)",0,0,0,0,2,0,1,1
"('cell', 196)",0,0,0,0,7,0,1,1
"('cell', 232)",0,0,0,0,5,0,1,2
"('cell', 147)",0,0,1,0,4,0,0,0
"('cell', 134)",0,0,1,1,3,0,0,0
"('cell', 368)",0,0,1,0,9,0,0,0
"('cell', 394)",0,0,1,0,8,0,0,0
"('cell', 431)",0,0,0,0,6,0,0,0
"('cell', 378)",0,0,0,0,7,0,0,0
"('cell', 413)",0,0,1,0,7,0,0,0
"('cell', 322)",0,0,0,0,7,0,1,0
"('cell', 253)",0,0,0,0,2,0,1,1
"('cell', 280)",0,0,0,0,6,0,1,1
"('cell', 243)",0,0,1,0,5,0,0,0
"('cell', 258)",0,0,2,0,7,0,0,0
"('cell', 311)",0,0,2,0,7,0,0,0
"('cell', 269)",0,0,0,0,6,0,1,0
"('cell', 231)",0,0,1,0,5,0,1,1
"('cell', 186)",0,0,1,0,7,0,0,0
"('cell', 66)",0,0,1,0,2,2,4,0
"('cell', 674)",0,0,0,4,2,0,2,0
"('cell', 709)",0,0,0,5,2,0,2,0
"('cell', 931)",0,0,2,1,1,0,0,6
"('cell', 645)",0,0,0,0,6,0,0,6
"('cell', 649)",0,0,0,0,6,0,0,4
"('cell', 669)",0,0,0,0,6,0,0,4
"('cell', 393)",0,0,0,0,10,0,1,5
"('cell', 388)",0,0,0,0,7,0,1,1
"('cell', 916)",1,0,0,5,0,3,3,0
"('cell', 936)",1,0,0,9,0,5,3,0
"('cell', 957)",1,0,0,10,0,4,3,0
"('cell', 846)",0,0,0,4,0,5,1,0
"('cell', 873)",1,0,0,5,0,3,1,0
"('cell', 775)",1,0,0,5,0,1,1,0
"('cell', 1631)",1,0,0,2,1,3,12,2
"('cell', 1620)",1,0,0,1,2,5,7,0
"('cell', 1552)",0,0,0,2,2,3,14,0
"('cell', 1520)",0,0,0,2,2,1,12,0
"('cell', 1605)",1,0,0,1,2,2,10,0
"('cell', 1581)",0,0,0,1,2,2,5,0
"('cell', 1570)",0,0,0,2,2,5,7,0
"('cell', 1110)",1,0,0,20,0,5,5,0
"('cell', 1101)",1,0,0,15,0,4,5,0
"('cell', 1164)",1,0,0,16,0,3,5,0
"('cell', 1327)",0,0,0,11,1,2,11,2
"('cell', 1469)",0,0,0,11,2,2,4,0
"('cell', 1412)",0,0,0,13,2,1,0,0
"('cell', 1388)",0,0,0,13,2,1,2,0
"('cell', 1456)",0,0,0,13,2,2,4,0
"('cell', 1295)",0,0,0,9,1,0,2,1
"('cell', 1332)",0,0,0,11,2,0,2,0
"('cell', 1324)",0,0,0,11,1,0,8,2
"('cell', 1221)",0,0,0,17,1,5,4,1
"('cell', 1147)",0,0,0,13,0,7,5,2
"('cell', 1106)",0,0,0,19,0,5,4,1
"('cell', 1258)",0,0,0,13,1,3,4,1
"('cell', 1294)",0,0,0,10,1,1,10,1
"('cell', 1426)",0,0,0,9,2,0,12,2
"('cell', 1652)",0,0,0,8,1,4,9,0
"('cell', 1536)",0,0,0,9,2,4,6,0
"('cell', 1708)",1,1,0,7,0,4,7,3
"('cell', 1798)",0,1,0,6,0,5,6,3
"('cell', 1632)",0,0,0,12,1,0,10,2
"('cell', 2083)",1,1,0,9,0,2,2,2
"('cell', 2036)",0,0,0,6,0,2,2,2
"('cell', 1937)",0,0,0,4,0,0,3,2
"('cell', 1870)",0,1,0,7,0,1,4,3
"('cell', 1878)",0,1,0,3,0,1,3,2
