,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 413)",1,0,1,3,2,0,3,0
"('cell', 361)",0,0,1,3,2,0,3,0
"('cell', 409)",1,0,1,3,2,0,3,0
"('cell', 703)",0,0,0,0,2,0,1,2
"('cell', 745)",1,0,1,3,1,0,2,0
"('cell', 407)",1,0,1,3,2,0,3,0
"('cell', 543)",0,0,0,0,2,0,2,0
"('cell', 524)",0,0,0,1,2,0,2,0
"('cell', 584)",0,0,0,0,2,0,2,0
"('cell', 2123)",0,0,0,4,1,0,2,0
"('cell', 2185)",0,0,1,2,1,0,0,0
"('cell', 1540)",0,0,0,0,2,0,2,0
"('cell', 1507)",0,0,0,1,1,0,4,1
"('cell', 2055)",0,0,0,2,0,0,2,0
"('cell', 2168)",0,0,2,1,1,0,0,0
"('cell', 123)",0,0,3,0,3,0,2,0
"('cell', 323)",0,1,2,3,2,0,4,0
"('cell', 390)",0,0,2,4,2,0,3,0
"('cell', 298)",0,0,2,1,1,0,2,0
"('cell', 319)",0,0,1,1,2,0,2,0
"('cell', 351)",0,0,1,2,1,0,3,0
"('cell', 637)",0,0,1,0,2,1,3,0
"('cell', 610)",0,0,1,0,2,0,3,0
"('cell', 549)",0,0,0,0,2,0,4,0
"('cell', 667)",0,0,1,0,2,1,4,0
"('cell', 668)",0,0,1,0,2,0,4,0
"('cell', 835)",1,0,1,2,0,1,2,0
"('cell', 909)",2,0,5,3,2,5,10,5
"('cell', 2130)",0,0,0,4,1,0,2,0
"('cell', 740)",2,0,6,2,0,2,5,3
"('cell', 634)",10,1,3,7,0,6,12,0
"('cell', 104)",0,0,0,1,5,0,2,0
"('cell', 36)",0,0,0,1,5,0,3,0
"('cell', 515)",4,1,0,7,0,5,14,1
"('cell', 2037)",0,0,0,2,5,1,8,3
"('cell', 2050)",0,0,0,2,5,1,14,3
"('cell', 765)",0,0,4,0,1,0,3,0
"('cell', 787)",0,0,4,0,3,0,4,0
"('cell', 738)",0,0,3,0,1,0,4,0
"('cell', 777)",0,0,4,0,1,0,3,0
"('cell', 1419)",0,0,0,2,1,1,12,2
"('cell', 1456)",0,0,1,2,1,0,13,2
"('cell', 1429)",0,0,0,1,0,0,10,2
