,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 697)",3,1,0,4,2,0,1,0
"('cell', 1390)",3,2,0,4,2,1,2,0
"('cell', 1442)",6,3,0,4,1,2,2,0
"('cell', 764)",2,1,0,3,2,0,0,0
"('cell', 772)",2,3,0,4,2,0,0,0
"('cell', 1543)",3,5,3,11,1,0,1,0
"('cell', 1427)",4,4,0,8,2,1,2,0
"('cell', 2714)",0,1,1,9,4,0,4,2
"('cell', 2315)",3,0,1,10,1,0,3,3
"('cell', 2248)",0,3,2,8,8,2,0,0
"('cell', 2089)",4,0,1,7,3,0,3,0
"('cell', 2169)",0,2,2,6,4,2,0,0
"('cell', 2274)",0,1,1,7,5,2,1,0
"('cell', 2525)",0,1,2,8,1,2,3,0
"('cell', 1227)",5,5,4,3,6,2,2,0
"('cell', 1778)",4,2,1,6,0,2,2,0
"('cell', 1267)",4,4,0,5,3,1,0,0
"('cell', 1409)",4,6,4,3,3,0,2,1
"('cell', 1370)",3,5,6,3,4,0,4,2
"('cell', 2106)",3,3,0,6,1,0,1,0
"('cell', 2074)",3,4,0,5,0,0,0,0
"('cell', 2119)",3,1,0,5,0,1,0,0
"('cell', 1343)",3,5,0,4,2,0,0,0
"('cell', 1320)",0,1,0,2,1,0,2,0
"('cell', 1345)",3,4,0,7,2,0,1,0
"('cell', 1357)",3,4,0,7,2,0,2,0
"('cell', 1660)",8,3,4,5,1,3,2,0
"('cell', 1637)",5,3,5,7,1,2,1,0
"('cell', 1715)",8,2,5,5,1,3,2,0
"('cell', 1630)",6,2,3,4,1,2,2,0
"('cell', 1429)",3,3,1,4,6,0,1,0
"('cell', 1389)",4,3,1,6,3,0,1,0
"('cell', 2182)",2,2,0,3,2,2,1,0
"('cell', 1218)",3,4,0,2,2,1,0,0
"('cell', 864)",2,2,0,1,7,0,2,0
"('cell', 795)",5,2,0,1,6,1,3,0
"('cell', 2230)",2,0,0,2,2,1,1,0
"('cell', 2284)",2,0,0,2,2,1,1,0
"('cell', 2208)",2,0,0,2,3,1,1,0
"('cell', 2671)",0,3,1,7,1,1,1,0
"('cell', 2646)",1,2,1,6,1,2,1,1
"('cell', 2670)",1,3,1,8,1,1,1,1
"('cell', 2664)",1,2,0,6,1,2,1,0
"('cell', 2317)",3,1,1,7,3,0,3,3
"('cell', 2136)",4,0,2,8,5,0,3,0
"('cell', 2219)",3,0,0,13,1,0,4,2
"('cell', 2269)",2,0,1,12,1,0,3,3
"('cell', 2139)",3,0,3,3,6,1,1,0
"('cell', 2159)",3,0,2,5,4,0,2,0
"('cell', 2194)",3,1,3,8,4,1,2,0
"('cell', 2092)",1,2,2,5,6,2,1,0
"('cell', 2096)",2,0,3,3,5,1,1,0
"('cell', 2130)",3,0,2,5,5,0,2,0
"('cell', 2306)",0,2,1,9,5,0,2,0
"('cell', 2288)",0,3,1,8,7,2,1,0
"('cell', 2665)",0,2,0,4,0,1,2,0
"('cell', 2676)",0,3,1,7,1,1,1,0
"('cell', 2563)",0,1,0,3,2,0,7,1
"('cell', 2622)",1,2,0,5,1,2,2,2
"('cell', 2059)",2,0,1,2,4,0,1,0
"('cell', 1668)",3,5,1,6,4,0,0,0
"('cell', 920)",4,2,0,1,5,0,2,0
"('cell', 1203)",4,5,4,3,8,4,2,0
"('cell', 1170)",5,5,1,2,8,4,2,0
"('cell', 1280)",2,7,1,4,5,3,1,0
"('cell', 1315)",3,5,0,6,2,2,0,0
"('cell', 1195)",8,4,4,3,7,2,2,0
"('cell', 1711)",3,4,2,10,0,1,2,0
"('cell', 1502)",1,4,1,7,1,1,0,0
"('cell', 1436)",2,4,2,8,2,1,0,0
"('cell', 1564)",1,3,1,8,1,2,0,0
"('cell', 1585)",2,7,3,4,1,1,1,2
"('cell', 2299)",0,1,3,8,4,0,3,0
"('cell', 2233)",0,2,1,9,6,2,1,0
"('cell', 959)",1,8,4,3,2,2,0,0
"('cell', 980)",2,8,3,3,1,2,1,0
"('cell', 1459)",5,7,3,5,3,0,2,0
"('cell', 1423)",3,6,4,1,2,0,2,0
"('cell', 1310)",6,7,5,3,1,0,4,3
"('cell', 1472)",5,0,4,7,7,0,3,1
"('cell', 1304)",4,5,6,2,3,0,3,2
"('cell', 1312)",5,3,7,5,3,0,1,2
"('cell', 1756)",4,4,3,10,0,3,3,0
"('cell', 2055)",1,2,2,2,4,1,1,0
"('cell', 2044)",4,4,0,7,0,0,0,0
"('cell', 1998)",5,5,0,8,0,0,0,0
"('cell', 1951)",7,3,1,6,0,3,0,0
"('cell', 1977)",6,5,1,6,0,1,0,0
"('cell', 2022)",3,4,0,6,0,3,0,0
"('cell', 1955)",9,2,1,6,0,3,1,0
"('cell', 1689)",6,2,6,6,0,0,1,0
"('cell', 1683)",7,2,6,6,1,2,1,0
"('cell', 1288)",1,5,0,6,3,0,0,0
"('cell', 1334)",1,6,0,7,2,0,0,0
"('cell', 1217)",0,1,0,0,4,0,2,0
"('cell', 1339)",1,3,0,2,3,0,1,0
"('cell', 1259)",0,2,0,1,2,0,1,0
"('cell', 1347)",1,3,0,3,3,0,3,0
"('cell', 1330)",3,4,0,7,2,0,1,0
"('cell', 1519)",2,3,1,5,7,0,1,0
"('cell', 1515)",2,4,2,5,7,0,1,0
"('cell', 1434)",3,5,1,6,5,0,1,0
"('cell', 1433)",3,3,1,6,7,0,1,0
"('cell', 1506)",3,3,1,4,8,0,1,0
"('cell', 1194)",1,7,7,1,3,0,0,0
"('cell', 1435)",1,5,1,6,2,0,1,0
"('cell', 1483)",2,4,1,7,7,0,1,0
"('cell', 1473)",1,6,4,9,4,0,1,0
"('cell', 1405)",2,6,1,4,3,0,1,0
"('cell', 1426)",1,6,1,10,2,0,0,0
"('cell', 1246)",3,6,0,4,4,0,1,0
"('cell', 1224)",1,4,0,4,4,0,1,0
"('cell', 1266)",1,6,0,4,3,0,1,0
"('cell', 1091)",1,3,0,2,6,0,3,0
"('cell', 1103)",0,3,0,2,5,0,2,0
"('cell', 620)",6,2,0,6,2,0,2,1
"('cell', 136)",3,5,6,5,5,0,0,0
"('cell', 1602)",0,4,1,1,0,0,0,0
"('cell', 2148)",2,4,0,6,1,2,1,0
"('cell', 1866)",1,2,2,9,5,0,2,0
"('cell', 1881)",1,4,3,7,4,0,2,0
"('cell', 101)",3,4,4,5,5,0,0,0
"('cell', 32)",0,1,3,3,5,0,0,0
"('cell', 788)",2,4,3,4,6,2,4,1
"('cell', 522)",1,2,0,1,5,3,3,0
"('cell', 621)",3,1,0,1,4,2,3,0
"('cell', 523)",0,3,0,1,3,3,2,0
"('cell', 433)",0,3,0,1,2,4,2,0
"('cell', 1120)",6,2,1,3,7,3,1,0
"('cell', 650)",5,0,8,0,7,5,0,0
"('cell', 2359)",2,1,0,1,2,1,1,0
"('cell', 2669)",0,2,0,8,0,0,1,0
"('cell', 2499)",1,2,0,1,2,0,0,0
"('cell', 2715)",0,1,0,8,4,1,1,2
"('cell', 2615)",3,3,1,10,5,0,3,0
"('cell', 2635)",1,3,1,10,2,0,3,0
"('cell', 2595)",3,3,1,11,4,0,3,0
"('cell', 2684)",0,2,2,13,3,0,3,1
"('cell', 2184)",4,1,2,11,4,0,4,0
"('cell', 2190)",6,0,2,13,3,0,3,1
"('cell', 2217)",3,1,2,8,6,0,2,3
"('cell', 2271)",3,1,2,8,6,0,3,3
"('cell', 2108)",0,2,2,7,5,2,0,0
"('cell', 2133)",0,3,1,7,2,2,0,0
"('cell', 1934)",4,5,0,5,4,0,3,0
"('cell', 2005)",5,3,0,7,7,0,3,0
"('cell', 2081)",3,0,2,4,4,0,3,0
"('cell', 2323)",0,3,1,8,7,1,3,0
"('cell', 2358)",2,3,0,8,7,0,6,2
"('cell', 2332)",1,3,0,8,6,1,5,0
"('cell', 2612)",0,0,1,4,0,0,5,0
"('cell', 2633)",0,0,0,3,0,0,5,0
"('cell', 2600)",0,1,0,5,2,0,8,0
"('cell', 2535)",0,0,1,4,0,0,7,0
"('cell', 2510)",0,2,1,5,0,0,7,0
"('cell', 2528)",0,2,1,3,0,0,8,0
"('cell', 2559)",0,1,1,4,1,0,8,0
"('cell', 2592)",0,0,1,7,0,2,3,0
"('cell', 2578)",0,0,1,5,0,0,5,0
"('cell', 2634)",0,0,1,3,0,1,3,0
"('cell', 2551)",0,1,1,7,0,2,2,0
"('cell', 2529)",0,0,1,7,0,0,5,0
"('cell', 2434)",1,3,5,9,3,0,6,1
"('cell', 2389)",0,2,4,5,4,0,6,1
"('cell', 2594)",1,5,2,13,5,0,1,1
"('cell', 2553)",2,6,3,11,4,0,2,1
"('cell', 1887)",4,5,0,3,4,0,2,0
"('cell', 1963)",6,3,0,7,4,1,5,0
"('cell', 1995)",7,3,0,8,5,0,3,0
"('cell', 1936)",7,4,0,8,5,1,4,0
"('cell', 1797)",3,8,1,5,4,0,2,0
"('cell', 1857)",4,6,1,2,5,0,2,0
"('cell', 1812)",4,8,1,4,4,0,1,0
