,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1957)",0,0,0,0,4,1,0,0
"('cell', 1528)",0,2,0,5,1,2,10,1
"('cell', 2119)",0,0,0,0,4,0,0,0
"('cell', 2127)",0,0,1,0,4,0,0,0
"('cell', 1300)",0,0,0,4,4,1,1,0
"('cell', 56)",1,0,0,0,0,0,0,0
"('cell', 117)",3,0,0,4,2,0,1,0
"('cell', 85)",1,0,0,4,2,0,0,0
"('cell', 73)",1,0,0,2,1,0,0,0
"('cell', 71)",3,0,0,1,1,0,1,0
"('cell', 115)",1,1,0,5,2,1,4,0
"('cell', 1946)",1,1,0,5,3,0,8,0
"('cell', 158)",0,0,4,1,5,0,0,0
"('cell', 168)",0,0,5,1,5,0,0,0
"('cell', 1453)",1,0,0,9,2,0,8,0
"('cell', 1382)",5,0,0,5,4,1,10,0
"('cell', 1417)",3,0,0,6,5,0,10,0
"('cell', 2264)",2,1,0,7,0,1,22,2
"('cell', 919)",0,0,0,0,0,0,1,0
"('cell', 977)",0,0,0,3,0,0,3,0
"('cell', 923)",0,0,0,0,0,0,1,0
"('cell', 986)",0,0,0,1,1,4,2,0
"('cell', 876)",0,0,0,2,1,4,3,0
"('cell', 960)",0,0,0,2,1,4,3,0
"('cell', 2161)",0,0,0,0,5,0,2,0
"('cell', 1872)",0,2,2,6,2,1,1,0
"('cell', 1939)",0,2,1,1,4,0,0,0
"('cell', 1985)",0,0,1,0,4,1,0,0
"('cell', 1280)",0,0,0,2,2,1,1,0
"('cell', 1316)",0,0,0,4,2,1,4,0
"('cell', 1114)",0,0,0,0,1,2,2,0
"('cell', 1155)",0,0,0,1,0,1,1,0
"('cell', 1828)",0,3,2,9,2,1,1,0
"('cell', 1651)",4,1,0,6,1,2,7,0
"('cell', 1352)",1,0,0,6,3,2,4,0
"('cell', 1338)",1,0,0,6,3,1,3,0
"('cell', 1180)",0,0,1,1,2,0,0,0
"('cell', 148)",3,0,0,2,2,0,2,0
"('cell', 132)",3,1,0,4,2,0,3,0
"('cell', 173)",3,1,0,4,2,0,3,1
"('cell', 163)",4,0,0,2,2,2,4,1
"('cell', 145)",4,0,0,0,2,1,2,0
"('cell', 851)",0,0,0,8,1,4,5,0
"('cell', 102)",4,0,0,2,2,1,2,0
"('cell', 303)",1,2,0,4,2,1,5,1
"('cell', 204)",0,0,7,0,5,0,0,0
"('cell', 222)",0,0,8,0,5,0,0,0
"('cell', 251)",0,0,7,0,4,0,0,0
"('cell', 74)",0,0,0,5,1,0,1,0
"('cell', 65)",0,0,0,5,1,0,1,1
"('cell', 35)",0,0,0,2,0,0,0,1
"('cell', 49)",1,0,0,2,1,0,0,0
"('cell', 78)",0,0,0,5,2,0,1,0
"('cell', 108)",1,0,0,9,2,1,4,1
"('cell', 437)",0,0,4,0,0,0,0,0
"('cell', 474)",0,0,3,0,0,0,0,0
"('cell', 427)",0,0,3,0,0,0,0,0
"('cell', 630)",0,0,0,1,0,0,0,0
"('cell', 646)",0,0,0,1,0,0,0,0
"('cell', 703)",0,0,0,0,1,0,0,0
"('cell', 2243)",4,5,1,5,0,0,12,0
"('cell', 1545)",0,0,0,5,0,0,15,0
"('cell', 1572)",1,0,0,6,0,0,11,0
"('cell', 1633)",2,0,0,9,1,0,15,0
"('cell', 1555)",0,0,0,4,0,0,7,0
