,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 4)",0,0,0,2,0,3,3,4
"('cell', 1910)",0,0,0,0,2,0,0,0
"('cell', 43)",0,0,0,0,2,0,0,0
"('cell', 48)",0,0,0,0,2,0,0,0
"('cell', 24)",0,0,0,0,3,0,0,0
"('cell', 60)",0,2,2,3,3,3,1,0
"('cell', 36)",0,1,2,3,3,3,0,0
"('cell', 25)",0,1,3,3,4,1,0,0
"('cell', 29)",0,0,2,1,4,1,0,0
"('cell', 1482)",0,0,1,0,0,0,0,0
"('cell', 1468)",1,1,1,0,1,0,0,0
"('cell', 1455)",0,0,1,0,0,0,0,0
"('cell', 10)",0,0,0,2,0,4,5,4
"('cell', 2892)",0,0,0,0,5,0,0,0
"('cell', 2811)",0,0,2,2,3,0,0,0
"('cell', 1978)",0,0,0,1,3,0,0,0
"('cell', 2043)",0,0,0,1,3,0,0,1
"('cell', 1967)",0,0,0,1,3,0,0,0
"('cell', 1961)",0,0,0,1,3,0,0,0
"('cell', 1878)",0,0,0,0,1,0,0,0
"('cell', 1914)",0,0,0,1,2,0,0,0
"('cell', 1546)",0,0,0,0,3,0,0,0
"('cell', 44)",0,0,2,1,3,1,0,0
"('cell', 49)",0,1,2,2,3,3,1,0
"('cell', 1954)",0,0,1,0,0,0,0,1
"('cell', 7)",1,2,2,4,3,3,0,0
"('cell', 1732)",3,1,1,3,3,0,1,0
"('cell', 1518)",1,1,1,0,0,0,2,0
"('cell', 2912)",1,0,3,0,2,0,0,0
"('cell', 2891)",1,0,7,1,2,0,0,0
"('cell', 2747)",0,0,0,2,3,0,0,0
"('cell', 2786)",0,0,0,2,3,0,0,0
"('cell', 2757)",1,0,0,2,3,0,0,0
"('cell', 1997)",0,0,0,1,3,0,0,1
"('cell', 2126)",0,0,0,1,3,0,0,1
"('cell', 2007)",0,0,0,1,3,0,0,1
"('cell', 1629)",0,0,0,0,2,0,0,0
"('cell', 1664)",0,0,0,0,2,0,0,0
"('cell', 128)",0,0,0,0,3,0,0,0
"('cell', 1162)",0,0,4,0,4,0,0,2
"('cell', 205)",0,0,2,0,2,0,0,0
"('cell', 65)",1,0,3,0,2,0,0,0
"('cell', 99)",1,0,2,0,1,0,0,0
"('cell', 106)",1,0,3,0,1,0,0,0
"('cell', 62)",1,0,3,0,2,0,0,0
"('cell', 174)",1,0,4,0,1,0,0,0
"('cell', 133)",1,0,2,0,1,0,0,0
"('cell', 68)",1,0,2,0,3,0,0,0
"('cell', 53)",0,0,2,1,3,0,0,0
"('cell', 20)",1,1,1,5,0,7,6,5
"('cell', 1417)",0,0,2,0,0,0,0,0
"('cell', 1438)",0,1,2,0,0,0,0,0
"('cell', 2123)",0,2,0,1,0,7,2,1
"('cell', 2929)",1,0,0,3,2,5,3,1
"('cell', 2823)",1,0,0,4,4,8,7,2
"('cell', 276)",3,1,0,2,0,11,6,2
"('cell', 64)",2,1,0,2,0,9,7,2
"('cell', 1542)",1,0,1,0,0,0,1,0
"('cell', 2821)",6,1,12,8,0,3,3,1
"('cell', 2940)",0,1,3,1,1,1,2,0
"('cell', 2731)",0,2,3,2,1,4,9,2
"('cell', 2809)",1,2,11,1,1,1,2,0
"('cell', 2802)",1,2,7,1,1,2,4,2
"('cell', 2764)",0,2,5,1,1,4,6,2
"('cell', 2898)",1,0,3,0,2,0,0,0
"('cell', 2698)",1,0,0,3,6,0,0,0
"('cell', 2728)",1,0,0,2,4,0,0,0
"('cell', 2741)",1,0,0,2,2,0,0,0
"('cell', 2212)",0,0,0,1,0,0,0,1
"('cell', 2827)",0,0,0,1,1,0,0,0
"('cell', 2832)",0,0,0,2,2,0,0,0
"('cell', 2885)",0,0,0,1,2,0,0,0
"('cell', 2814)",1,0,0,2,0,0,0,0
"('cell', 2787)",0,0,0,2,1,0,0,0
"('cell', 2211)",0,0,0,1,0,0,0,0
"('cell', 2484)",0,0,6,0,2,0,0,0
"('cell', 2285)",0,0,7,1,2,1,0,0
"('cell', 2240)",0,0,7,1,2,0,0,0
"('cell', 2368)",0,0,3,1,2,0,0,0
"('cell', 2359)",0,0,3,1,2,0,0,0
"('cell', 2395)",0,0,3,1,2,0,0,0
"('cell', 2421)",0,0,3,1,2,0,0,0
"('cell', 2281)",0,0,7,1,2,0,0,0
"('cell', 2241)",0,0,5,1,2,0,0,0
"('cell', 2322)",0,0,6,1,2,1,0,0
"('cell', 2385)",0,0,6,2,2,2,0,0
"('cell', 2339)",1,0,6,3,2,3,0,0
"('cell', 2783)",0,0,2,3,6,0,0,0
"('cell', 2856)",0,0,1,1,4,0,0,0
"('cell', 2817)",0,0,2,2,6,0,0,0
"('cell', 1594)",0,0,0,0,3,0,0,0
"('cell', 1487)",0,0,0,0,3,0,0,0
"('cell', 1593)",0,0,0,0,2,0,0,0
"('cell', 1486)",0,0,0,0,4,0,0,0
"('cell', 1885)",0,0,0,1,2,0,0,0
"('cell', 1937)",0,0,0,1,3,0,0,1
"('cell', 1896)",0,0,0,1,2,0,0,0
"('cell', 1859)",0,0,0,1,2,0,0,0
"('cell', 2013)",0,0,0,1,3,0,0,1
"('cell', 1695)",0,0,0,0,2,0,0,0
"('cell', 1671)",0,0,0,0,2,0,0,0
"('cell', 1683)",0,0,0,0,2,0,0,0
"('cell', 1728)",0,0,0,0,2,0,0,0
"('cell', 1847)",0,0,0,0,1,0,0,0
"('cell', 83)",0,0,0,0,2,0,0,0
"('cell', 52)",0,0,0,0,3,0,0,0
"('cell', 79)",0,0,0,0,3,0,0,0
"('cell', 103)",0,0,0,0,2,0,0,0
"('cell', 116)",0,0,0,0,2,0,0,0
"('cell', 1534)",0,0,8,0,2,0,0,2
"('cell', 1552)",0,0,6,0,1,0,0,1
"('cell', 1590)",0,0,9,0,1,0,0,1
"('cell', 1283)",2,0,5,3,2,3,3,0
"('cell', 31)",1,0,2,0,4,0,0,0
"('cell', 90)",0,0,0,0,3,0,0,0
"('cell', 69)",0,0,0,0,4,0,0,0
"('cell', 122)",0,0,0,0,2,0,0,0
"('cell', 155)",0,0,0,0,2,0,0,0
"('cell', 260)",0,0,3,0,0,0,0,1
"('cell', 301)",0,0,2,0,0,0,0,1
"('cell', 246)",0,0,3,0,1,0,0,0
"('cell', 208)",0,0,2,0,1,0,0,0
"('cell', 631)",0,0,2,0,8,0,0,2
"('cell', 39)",1,0,2,0,3,0,0,0
"('cell', 41)",1,0,3,0,4,0,0,0
"('cell', 28)",1,0,2,1,3,0,0,0
"('cell', 56)",1,0,2,0,1,0,0,0
"('cell', 38)",1,0,2,1,2,0,0,0
"('cell', 78)",1,0,2,0,1,0,0,0
"('cell', 175)",0,0,2,0,1,0,0,0
"('cell', 158)",1,0,2,0,1,0,0,0
"('cell', 190)",0,0,4,0,1,0,0,0
"('cell', 211)",0,0,4,0,1,0,0,0
"('cell', 303)",0,0,5,0,0,0,0,0
"('cell', 72)",0,1,2,2,3,2,1,0
"('cell', 118)",0,1,2,0,2,0,1,0
"('cell', 119)",1,0,1,0,0,0,0,0
"('cell', 9)",1,2,2,4,3,2,0,2
"('cell', 32)",5,3,2,9,1,6,3,6
"('cell', 1371)",0,0,1,0,0,0,0,0
"('cell', 1378)",1,1,2,0,1,0,1,0
"('cell', 1423)",3,1,3,1,1,4,2,1
"('cell', 1461)",2,1,1,0,1,0,3,0
"('cell', 1339)",1,0,1,0,0,0,0,0
"('cell', 2301)",1,0,6,1,2,3,0,0
"('cell', 2674)",1,2,4,2,0,4,6,1
"('cell', 2865)",0,0,0,7,3,9,3,1
"('cell', 2873)",0,0,0,6,3,7,5,2
"('cell', 2818)",1,0,0,9,3,9,8,2
"('cell', 2916)",1,0,5,2,0,4,2,0
"('cell', 2207)",7,2,4,5,0,0,2,0
"('cell', 1867)",0,0,1,0,0,1,3,2
