,src,tgt,distance
0,3191,3166,19.72308292331602
1,3191,3196,27.018512172212592
2,3191,3142,24.351591323771842
3,1189,1190,23.021728866442675
4,1189,1274,54.48853090330111
5,1189,1306,73.24616030891995
6,1190,905,164.04877323527901
7,1190,1274,43.32435804486894
8,1190,934,150.44268011438774
9,15,43,27.073972741361768
10,15,31,19.235384061671343
11,15,21,31.25699921617557
12,36,33,23.08679276123039
13,36,24,23.853720883753127
14,36,48,24.166091947189145
15,36,63,21.213203435596427
16,33,24,20.591260281974
17,33,63,30.479501308256342
18,1278,1203,32.7566787083184
19,1278,1340,55.21775076911409
20,1278,1221,35.35533905932738
21,1278,1267,32.0
22,1274,1705,183.15294155431957
23,1274,1306,84.72307831990054
24,1274,1472,133.5440002396214
25,934,905,28.0178514522438
26,934,1106,148.39474384222643
27,219,284,30.886890422961002
28,219,236,23.853720883753127
29,219,164,24.698178070456937
30,219,176,18.973665961010276
31,219,267,20.09975124224178
32,1221,1185,22.360679774997898
33,1221,1205,23.345235059857504
34,1221,1168,29.546573405388315
35,1221,1203,19.313207915827967
36,1221,1267,25.96150997149434
37,1547,1590,24.08318915758459
38,1547,1555,22.360679774997898
39,1547,1519,21.633307652783937
40,1547,1496,21.095023109728988
41,2698,2729,25.059928172283335
42,2698,2737,17.46424919657298
43,2698,2599,45.60701700396552
44,2698,2728,38.27531841800928
45,2698,2646,37.013511046643494
46,2571,2544,20.0
47,2571,2658,45.617978911828175
48,2571,2595,22.47220505424423
49,2544,2573,35.34119409414458
50,2544,2595,24.186773244895647
51,2544,2533,18.788294228055936
52,2285,2277,22.090722034374522
53,2285,2296,27.892651361962706
54,2285,2222,22.02271554554524
55,2285,2358,35.35533905932738
56,905,472,238.8242031285774
57,905,514,225.7011298155151
58,472,456,34.713109915419565
59,472,514,25.298221281347036
60,1201,1234,26.832815729997478
61,1201,1212,40.607881008493905
62,1201,1031,110.98198051936178
63,1201,1248,27.784887978899608
64,1201,1160,86.83317338436964
65,1201,1060,108.4665847162157
66,944,904,19.697715603592208
67,944,933,14.317821063276353
68,944,977,35.84689665786984
69,944,1106,98.35141076771599
70,1152,1216,36.345563690772494
71,1152,1179,21.93171219946131
72,1152,1106,35.35533905932738
73,1212,1239,38.600518131237564
74,1212,1248,31.064449134018133
75,1212,1257,26.419689627245813
76,164,176,15.811388300841896
77,63,48,27.313000567495326
78,1191,1203,40.792156108742276
79,1191,1167,37.16180835212409
80,1191,1135,40.496913462633174
81,1191,1148,24.515301344262525
82,1203,1185,15.264337522473747
83,1203,1167,23.769728648009426
84,1167,1185,17.204650534085253
85,1167,1135,22.47220505424423
86,1167,1148,40.024992192379
87,1167,1119,36.124783736376884
88,1098,1135,25.709920264364882
89,1098,1148,40.8166632639171
90,1098,1107,31.25699921617557
91,1098,1017,49.03060268852505
92,1135,1148,28.792360097775937
93,1135,1107,32.64965543462902
94,1135,1119,36.87817782917155
95,1148,1017,88.60022573334675
96,1500,1589,39.45883931389772
97,1500,1549,26.076809620810597
98,1500,1504,28.284271247461902
99,1500,1443,26.419689627245813
100,1500,1398,52.49761899362675
101,1500,1417,31.064449134018133
102,1267,1205,33.12099032335839
103,1267,1340,34.539832078341085
104,1267,1258,30.59411708155671
105,1258,1229,17.26267650163207
106,1258,1205,26.92582403567252
107,1258,1340,41.6293165929973
108,1258,1268,16.492422502470642
109,3114,3083,15.033296378372908
110,3114,3097,25.0
111,3114,3063,30.610455730027933
112,3114,3137,23.323807579381203
113,3165,3176,33.54101966249684
114,3165,3137,19.924858845171276
115,3185,3129,32.55764119219941
116,3185,3184,26.0
117,3185,3189,25.179356624028344
118,3185,3156,28.844410203711913
119,2985,2926,33.83784863137726
120,2985,2952,15.524174696260024
121,2985,3007,28.635642126552707
122,2985,3011,17.88854381999832
123,2985,2994,16.55294535724685
124,3054,3103,26.30589287593181
125,3054,3025,16.278820596099706
126,3054,3007,28.600699292150182
127,3054,3067,18.867962264113206
128,3103,3113,18.973665961010276
129,3103,3067,20.0
130,3025,3007,34.36568055487916
131,3025,3008,18.681541692269406
132,2729,2724,36.0
133,2729,2737,26.476404589747453
134,2729,2774,25.942243542145693
135,2729,2641,45.967379738244816
136,2729,2646,35.6931365951495
137,2729,2793,44.04543109109048
138,2799,2831,22.627416997969522
139,2799,2861,29.017236257093817
140,2799,2737,40.0
141,2799,2806,24.331050121192877
142,2799,2728,36.87817782917155
143,2799,2878,44.598206241955516
144,2737,2774,22.80350850198276
145,2737,2806,28.0
146,2737,2728,32.2490309931942
