,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1746)",2,3,2,12,4,0,1,0
"('cell', 1380)",3,4,2,6,1,8,3,0
"('cell', 1401)",3,2,2,5,0,4,0,2
"('cell', 1144)",4,2,0,10,2,4,11,2
"('cell', 1012)",2,0,2,8,1,2,4,2
"('cell', 1004)",5,0,3,7,3,0,7,2
"('cell', 1041)",9,0,1,9,2,1,9,1
"('cell', 1119)",3,5,0,8,1,7,8,2
"('cell', 190)",0,1,3,5,0,2,1,0
"('cell', 342)",0,0,3,2,0,1,7,2
"('cell', 347)",0,1,3,2,1,2,7,1
"('cell', 259)",0,0,2,0,0,0,2,1
"('cell', 185)",0,0,2,0,0,0,4,1
"('cell', 223)",0,0,2,0,0,0,1,1
"('cell', 175)",0,0,1,0,0,0,1,1
"('cell', 505)",0,5,0,4,2,4,6,2
"('cell', 328)",0,2,5,1,0,1,5,0
"('cell', 285)",0,2,5,3,0,0,3,0
"('cell', 291)",0,1,4,3,0,0,6,1
"('cell', 343)",0,2,4,2,0,1,7,1
"('cell', 353)",0,2,5,1,0,1,3,0
"('cell', 381)",0,4,6,1,0,5,5,0
"('cell', 352)",1,4,9,6,0,4,0,0
"('cell', 302)",0,0,3,1,0,1,7,2
"('cell', 278)",0,0,2,1,0,0,4,2
"('cell', 311)",0,0,2,1,0,1,8,2
"('cell', 284)",0,0,3,1,0,0,5,2
"('cell', 921)",0,1,1,4,0,1,3,1
"('cell', 888)",0,1,1,3,0,0,3,1
"('cell', 866)",0,1,3,1,0,0,2,1
"('cell', 894)",0,1,2,1,0,0,2,1
"('cell', 934)",0,1,1,4,0,1,2,1
"('cell', 976)",0,1,1,5,0,4,3,1
"('cell', 963)",0,0,1,5,0,1,4,1
"('cell', 950)",0,1,1,4,0,2,3,0
"('cell', 707)",0,2,2,2,1,2,3,3
"('cell', 635)",0,4,2,3,1,6,3,1
"('cell', 539)",0,3,0,5,2,7,9,2
"('cell', 792)",0,0,3,1,1,2,3,1
"('cell', 734)",0,1,2,2,1,2,3,3
"('cell', 713)",0,2,3,2,1,3,3,3
"('cell', 756)",0,0,3,2,1,2,2,1
"('cell', 808)",0,1,3,0,0,1,3,1
"('cell', 980)",2,5,0,7,0,1,8,1
"('cell', 1001)",4,6,0,7,0,3,9,2
"('cell', 978)",5,6,0,7,0,2,10,2
"('cell', 825)",0,1,1,3,0,1,3,3
"('cell', 899)",0,2,1,3,0,1,3,1
"('cell', 855)",0,2,1,1,0,1,4,3
"('cell', 851)",2,1,9,5,0,0,2,0
"('cell', 891)",1,1,9,7,1,0,3,0
"('cell', 856)",2,1,8,6,0,0,3,0
"('cell', 926)",1,1,6,6,1,0,0,0
"('cell', 880)",3,2,7,5,1,0,1,0
"('cell', 929)",2,1,7,7,1,0,2,1
"('cell', 841)",2,2,8,5,0,0,2,0
"('cell', 690)",1,0,0,9,2,5,10,4
"('cell', 300)",3,1,4,12,1,0,7,8
"('cell', 260)",3,1,4,9,1,0,7,5
"('cell', 213)",2,0,6,5,1,1,2,5
"('cell', 33)",0,0,10,2,0,1,3,0
"('cell', 282)",0,0,9,2,0,0,4,2
"('cell', 265)",0,0,9,3,0,0,5,3
"('cell', 187)",0,1,7,3,0,0,0,3
"('cell', 43)",0,1,2,4,0,1,2,2
"('cell', 14)",0,1,2,3,0,0,1,1
"('cell', 220)",0,0,6,1,0,0,3,2
"('cell', 207)",0,0,7,3,0,0,3,4
"('cell', 211)",1,0,7,4,0,2,5,5
"('cell', 65)",0,0,2,4,0,2,1,0
"('cell', 74)",1,0,2,5,0,6,2,1
"('cell', 89)",1,0,1,4,0,6,3,2
"('cell', 52)",1,0,2,4,0,6,1,1
"('cell', 62)",0,0,1,4,0,6,2,1
"('cell', 58)",0,0,1,4,0,6,1,1
"('cell', 529)",2,1,4,6,0,5,3,5
"('cell', 624)",0,0,6,2,0,3,2,3
"('cell', 657)",1,0,7,8,1,0,2,4
"('cell', 600)",1,0,7,4,0,3,2,3
"('cell', 579)",1,0,6,6,0,1,3,0
"('cell', 466)",0,0,5,3,0,2,1,0
"('cell', 544)",0,0,4,1,0,2,1,0
"('cell', 560)",0,0,4,1,0,3,1,0
"('cell', 478)",0,0,4,1,0,2,1,0
"('cell', 590)",0,0,4,1,0,3,2,1
"('cell', 422)",0,0,5,0,0,3,1,0
"('cell', 114)",0,2,0,3,0,0,0,3
"('cell', 168)",0,1,5,2,0,0,0,3
"('cell', 143)",0,2,2,4,0,1,0,3
"('cell', 424)",1,0,6,2,0,3,0,0
"('cell', 398)",1,0,7,2,0,5,0,0
"('cell', 589)",2,1,1,6,0,7,5,5
"('cell', 681)",1,1,2,5,0,6,9,6
"('cell', 232)",2,1,6,5,0,8,2,0
"('cell', 239)",2,0,3,4,0,8,2,0
"('cell', 81)",1,1,1,4,0,2,2,0
"('cell', 181)",1,2,3,6,0,5,2,1
"('cell', 165)",1,2,2,3,0,3,2,3
"('cell', 670)",3,1,1,3,4,12,9,2
"('cell', 553)",10,0,1,9,2,2,8,9
"('cell', 400)",5,2,0,13,1,1,7,7
"('cell', 210)",0,2,3,7,0,1,1,0
"('cell', 296)",2,2,4,9,0,3,8,2
"('cell', 97)",1,1,3,3,1,5,6,0
"('cell', 170)",0,0,6,4,0,1,8,1
"('cell', 131)",0,0,9,2,0,0,7,0
"('cell', 151)",1,0,6,5,0,0,6,1
