,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 234)",0,0,5,0,0,0,2,0
"('cell', 217)",0,0,7,2,2,0,2,0
"('cell', 25)",0,0,0,3,5,0,4,0
"('cell', 63)",0,1,0,0,9,0,0,0
"('cell', 93)",0,1,0,0,6,0,0,0
"('cell', 1096)",0,0,0,3,2,4,11,3
"('cell', 693)",0,0,2,3,3,2,3,0
"('cell', 299)",0,0,8,0,1,0,2,0
"('cell', 120)",0,0,7,3,2,0,1,1
"('cell', 196)",0,0,6,0,1,0,2,0
"('cell', 50)",0,0,0,3,2,0,5,0
"('cell', 99)",0,1,0,0,5,0,7,0
"('cell', 101)",0,1,0,0,4,0,4,0
"('cell', 78)",0,1,0,0,7,0,3,0
"('cell', 55)",0,1,0,1,5,0,5,0
"('cell', 85)",0,0,0,2,2,0,10,0
"('cell', 2909)",0,0,0,0,5,0,0,0
"('cell', 2928)",0,0,0,0,5,0,0,0
"('cell', 2908)",0,0,0,0,6,0,0,0
"('cell', 2937)",0,0,0,0,6,0,5,2
"('cell', 2912)",0,0,1,0,8,0,3,1
"('cell', 2761)",3,0,3,3,4,4,11,0
"('cell', 972)",0,0,4,1,0,0,10,0
"('cell', 1709)",1,0,0,6,7,0,5,0
"('cell', 1601)",1,0,0,5,6,0,2,0
"('cell', 1042)",0,0,0,3,2,4,8,3
"('cell', 1201)",0,0,7,3,4,2,14,2
"('cell', 1295)",0,0,5,1,4,0,6,0
"('cell', 1276)",0,0,6,2,4,2,11,1
"('cell', 300)",0,0,10,0,1,0,1,0
"('cell', 939)",0,0,1,4,2,0,23,0
"('cell', 716)",0,0,3,2,2,0,2,0
"('cell', 58)",0,0,1,0,2,0,7,1
"('cell', 100)",0,0,4,0,1,0,6,1
"('cell', 96)",0,0,2,0,2,0,9,1
"('cell', 14)",0,0,1,0,2,0,4,1
"('cell', 31)",0,0,1,0,2,0,5,1
"('cell', 12)",0,0,1,0,1,0,2,1
"('cell', 26)",0,0,4,0,0,2,5,0
"('cell', 265)",0,0,8,0,1,0,1,0
"('cell', 237)",0,0,6,0,0,0,2,0
"('cell', 281)",0,0,6,0,0,0,3,0
"('cell', 137)",0,0,2,0,1,0,5,1
"('cell', 122)",0,0,5,0,1,0,5,1
"('cell', 123)",0,0,1,0,1,0,9,1
"('cell', 192)",0,0,6,0,1,0,1,0
"('cell', 260)",0,0,10,0,1,0,1,0
"('cell', 241)",0,0,6,0,0,0,0,0
"('cell', 195)",0,0,7,0,1,0,1,0
"('cell', 182)",0,0,6,0,1,0,5,1
"('cell', 158)",0,0,4,0,1,0,11,1
"('cell', 181)",0,0,7,3,2,2,1,1
"('cell', 90)",0,0,6,3,2,1,1,1
"('cell', 161)",0,0,5,0,1,0,1,1
"('cell', 178)",0,0,6,0,1,0,1,1
"('cell', 202)",0,0,7,0,1,0,1,0
"('cell', 225)",0,1,0,0,3,0,4,0
"('cell', 180)",0,1,0,0,6,0,2,0
"('cell', 155)",0,1,0,0,11,0,0,0
"('cell', 259)",0,1,1,0,2,0,3,0
"('cell', 569)",0,0,0,3,4,0,2,0
"('cell', 991)",0,0,0,0,4,0,0,0
"('cell', 1013)",0,0,0,0,4,0,0,0
"('cell', 698)",0,0,0,5,1,3,8,1
"('cell', 1204)",0,0,1,0,2,0,0,0
"('cell', 1197)",0,0,1,0,2,0,0,0
"('cell', 1390)",0,0,3,0,1,0,1,0
"('cell', 1329)",0,0,2,0,2,0,1,0
"('cell', 1377)",0,0,2,0,2,0,2,0
"('cell', 1393)",0,0,2,0,0,0,2,0
"('cell', 1350)",0,0,1,0,2,0,2,0
"('cell', 1313)",0,0,2,0,2,0,1,0
"('cell', 1145)",0,0,1,0,2,0,0,0
"('cell', 87)",0,1,0,0,12,0,0,0
"('cell', 201)",0,1,0,0,3,0,7,0
"('cell', 148)",0,1,0,0,6,0,4,0
"('cell', 135)",0,1,0,0,0,0,15,0
"('cell', 112)",0,1,0,2,2,0,14,0
"('cell', 157)",0,1,0,0,2,0,8,0
"('cell', 129)",0,1,0,0,3,0,9,0
"('cell', 121)",0,0,1,5,1,0,17,0
"('cell', 5)",0,0,4,1,0,0,5,0
"('cell', 552)",1,1,4,5,0,0,14,0
"('cell', 32)",0,0,4,2,0,2,7,0
"('cell', 77)",0,0,5,1,0,3,7,1
"('cell', 160)",0,0,6,2,0,5,5,1
"('cell', 45)",0,0,4,4,0,1,7,1
"('cell', 151)",0,0,6,2,0,6,7,1
"('cell', 2935)",0,0,0,0,3,0,0,0
"('cell', 2906)",0,0,0,0,4,0,0,0
"('cell', 2900)",0,0,0,0,3,0,0,0
"('cell', 2915)",0,0,0,0,3,0,0,0
"('cell', 2914)",0,0,0,0,3,0,0,0
"('cell', 2875)",0,0,0,0,3,0,0,0
"('cell', 2811)",0,1,0,0,0,0,0,0
"('cell', 2806)",0,1,0,0,0,0,0,0
"('cell', 2841)",0,1,0,0,2,0,0,0
"('cell', 2941)",0,0,0,0,3,0,0,0
"('cell', 2923)",0,0,0,0,1,0,1,0
"('cell', 2817)",0,1,0,0,0,0,0,0
"('cell', 2883)",1,0,0,0,6,0,0,0
"('cell', 2789)",0,1,0,0,0,0,0,0
"('cell', 2921)",0,0,1,0,4,0,5,2
"('cell', 2382)",4,1,0,8,2,2,1,0
"('cell', 2833)",3,0,3,1,7,1,5,2
"('cell', 2877)",0,0,1,0,8,0,2,1
"('cell', 2893)",0,0,1,0,9,0,0,1
"('cell', 2820)",3,0,1,0,9,1,3,0
"('cell', 2771)",3,0,1,1,6,2,5,0
"('cell', 2808)",3,0,3,1,7,2,7,1
"('cell', 2845)",3,0,1,0,9,1,5,1
"('cell', 2856)",0,0,1,0,9,0,2,0
"('cell', 2433)",1,0,4,2,2,3,4,0
"('cell', 2465)",3,0,4,4,2,6,9,0
"('cell', 801)",0,0,5,0,0,0,5,1
"('cell', 1183)",0,0,3,1,0,0,4,0
"('cell', 1130)",0,0,3,2,0,0,6,0
"('cell', 1186)",0,0,3,3,0,0,8,0
"('cell', 1267)",0,0,3,0,0,0,16,0
"('cell', 1287)",0,0,3,2,0,0,17,0
"('cell', 752)",0,0,3,1,0,1,18,0
"('cell', 826)",0,0,3,2,0,2,21,0
"('cell', 1242)",0,0,3,2,0,0,20,0
"('cell', 1992)",2,0,0,5,4,0,5,0
"('cell', 1246)",0,0,1,0,2,0,1,0
"('cell', 1300)",0,0,1,0,2,0,1,0
"('cell', 1094)",0,0,1,0,2,0,0,0
"('cell', 1220)",0,0,1,0,2,0,0,0
"('cell', 1274)",0,0,1,0,2,0,4,0
"('cell', 1272)",0,0,1,0,2,0,2,0
"('cell', 1382)",0,0,3,0,0,0,6,0
"('cell', 1334)",0,0,2,0,1,0,6,0
"('cell', 1479)",0,0,2,0,0,0,2,0
"('cell', 1003)",0,0,0,4,4,4,8,3
"('cell', 783)",0,0,1,3,3,3,3,1
"('cell', 819)",0,0,0,4,3,3,5,1
"('cell', 945)",0,0,0,3,4,3,7,2
"('cell', 2114)",0,3,0,0,5,0,1,0
"('cell', 2099)",0,3,0,0,5,0,0,1
"('cell', 1830)",0,2,0,0,4,0,3,1
"('cell', 2386)",0,0,3,1,0,0,10,0
"('cell', 2300)",0,1,5,1,0,0,0,0
"('cell', 1417)",0,0,6,1,3,0,7,1
"('cell', 1428)",0,0,4,0,2,0,3,0
"('cell', 1771)",0,0,3,2,0,1,13,2
"('cell', 1805)",0,0,4,1,0,1,9,2
"('cell', 1898)",0,1,2,0,0,0,0,0
"('cell', 399)",0,0,6,0,1,0,2,0
"('cell', 767)",0,0,2,1,1,0,11,0
"('cell', 732)",0,0,4,0,0,0,7,1
"('cell', 694)",0,1,1,2,1,1,12,0
"('cell', 577)",0,0,1,2,1,4,8,1
"('cell', 505)",0,0,1,2,0,6,5,1
"('cell', 586)",0,1,2,2,1,2,9,0
"('cell', 544)",0,1,3,0,1,1,7,0
"('cell', 547)",0,0,1,2,1,4,4,1
"('cell', 488)",0,0,2,0,1,1,3,0
"('cell', 492)",0,0,2,1,1,4,2,1
"('cell', 461)",0,0,2,0,0,2,3,1
"('cell', 494)",0,0,3,0,1,0,4,0
"('cell', 530)",0,0,2,1,1,2,5,0
"('cell', 398)",0,0,1,0,2,2,3,2
"('cell', 361)",0,0,1,3,2,4,2,2
"('cell', 365)",0,0,1,3,2,3,2,2
"('cell', 531)",0,0,3,1,2,2,2,1
"('cell', 374)",0,0,1,1,0,4,3,3
"('cell', 317)",0,0,1,3,0,4,1,2
"('cell', 334)",0,0,1,3,2,4,1,2
"('cell', 1091)",0,0,5,1,0,0,5,0
"('cell', 1093)",0,0,4,0,1,0,2,0
"('cell', 1081)",0,0,4,2,1,0,2,0
"('cell', 1033)",0,0,4,2,1,0,2,0
"('cell', 1001)",0,0,6,1,0,0,9,0
"('cell', 946)",0,0,4,1,0,0,12,0
"('cell', 1040)",0,0,6,0,1,0,2,0
"('cell', 1018)",0,0,4,2,1,0,5,0
"('cell', 800)",0,0,4,0,0,0,0,1
"('cell', 836)",0,0,2,1,1,0,6,0
"('cell', 820)",0,0,4,1,0,0,4,0
"('cell', 772)",0,0,2,1,1,0,7,0
"('cell', 834)",0,0,2,1,2,0,9,0
"('cell', 634)",0,0,2,1,2,2,2,0
"('cell', 747)",0,0,2,1,0,1,7,0
"('cell', 672)",0,0,2,1,2,2,2,0
