,CELL_ID,X,Y
1713,1714,1054,1391
1707,1708,1073,1373
1715,1716,1087,1393
233,234,162,213
667,668,154,580
986,987,1816,813
381,382,1123,343
1705,1706,1407,1365
1557,1558,543,1202
1570,1571,538,1215
1700,1701,1094,1352
1130,1131,282,904
936,937,350,774
655,656,139,570
641,642,110,563
555,556,119,498
572,573,137,507
553,554,156,494
520,521,149,469
1051,1052,1738,857
1723,1724,1315,1420
1706,1707,1339,1366
1710,1711,1379,1380
1717,1718,1352,1393
1692,1693,1442,1337
1522,1523,1681,1174
1550,1551,1676,1201
1420,1421,1642,1097
1454,1455,1640,1121
1709,1710,930,1379
1711,1712,1029,1384
1714,1715,1142,1391
1708,1709,1121,1376
1701,1702,1114,1352
1274,1275,418,999
1231,1232,269,972
1211,1212,253,957
1244,1245,308,979
1319,1320,317,1032
730,731,313,619
689,690,322,593
703,704,148,604
768,769,146,648
979,980,168,807
870,871,157,724
1122,1123,225,899
1014,1015,162,835
982,983,209,814
987,988,191,816
947,948,246,785
969,970,253,803
1077,1078,211,874
1042,1043,275,854
595,596,185,524
584,585,155,518
561,562,175,502
368,369,258,331
401,402,266,359
661,662,336,575
657,658,175,572
630,631,217,549
543,544,278,487
518,519,294,465
393,394,326,356
438,439,339,400
370,371,352,334
858,859,1794,716
841,842,1766,703
784,785,1785,657
792,793,1707,664
3,4,1403,4
161,162,1480,151
451,452,1605,410
418,419,1587,377
571,572,1568,506
1097,1098,1701,883
1204,1205,1780,953
1518,1519,1381,1172
1491,1492,1403,1151
129,130,1499,127
173,174,1590,163
9,10,1551,9
8,9,1584,7
130,131,1566,128
74,75,1246,77
861,862,814,714
710,711,999,609
372,373,1243,334
1724,1725,1242,1426
1644,1645,1372,1277
1676,1677,1331,1313
1657,1658,1364,1294
1586,1587,1287,1228
1635,1636,1356,1268
1608,1609,1376,1245
1520,1521,1345,1174
1647,1648,1390,1280
1671,1672,1377,1307
1597,1598,1665,1238
1501,1502,1445,1156
1498,1499,1617,1158
1545,1546,1643,1195
1629,1630,1532,1265
1630,1631,1498,1267
1687,1688,801,1333
1675,1676,744,1314
1725,1726,1106,1425
749,750,554,635
1677,1678,1058,1315
1683,1684,1099,1322
1689,1690,1089,1335
1672,1673,899,1312
874,875,544,727
1212,1213,359,957
1139,1140,402,912
1149,1150,331,920
1325,1326,350,1037
1282,1283,328,1006
1238,1239,343,976
1255,1256,361,985
1265,1266,385,992
1152,1153,461,922
1186,1187,445,941
1116,1117,482,896
1141,1142,481,914
1160,1161,502,925
1169,1170,417,932
695,696,351,595
662,663,390,575
722,723,184,615
694,695,191,594
1118,1119,412,895
1079,1080,432,876
1022,1023,369,843
1052,1053,336,859
990,991,357,817
930,931,244,769
350,351,367,322
432,433,117,398
274,275,208,257
245,246,177,234
248,249,146,234
330,331,189,306
423,424,217,386
428,429,249,389
569,570,209,506
576,577,193,509
603,604,203,530
582,583,231,515
542,543,225,487
541,542,203,486
475,476,328,432
499,500,320,450
425,426,301,387
568,569,1739,504
591,592,1592,518
551,552,1695,489
292,293,1749,273
158,159,1721,147
200,201,1727,181
119,120,1874,109
183,184,1342,169
480,481,1569,435
1001,1002,1762,825
837,838,1720,696
985,986,1718,819
1057,1058,1703,861
943,944,1648,780
918,919,1553,762
951,952,1558,786
1484,1485,1341,1148
1444,1445,1311,1111
1466,1467,1320,1133
1333,1334,1533,1040
1365,1366,1511,1060
1314,1315,1499,1024
1529,1530,1468,1179
148,149,1529,141
147,148,1549,138
