,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1480)",0,0,0,3,1,0,1,0
"('cell', 1085)",0,0,1,0,1,0,0,2
"('cell', 1313)",0,0,1,0,0,0,1,1
"('cell', 1392)",0,0,1,0,0,0,0,1
"('cell', 1389)",0,0,1,0,0,0,0,1
"('cell', 1451)",0,0,0,0,6,0,0,0
"('cell', 1219)",0,0,0,0,1,0,1,1
"('cell', 1215)",0,0,1,0,0,0,0,1
"('cell', 1281)",0,0,1,0,0,0,1,1
"('cell', 816)",0,0,0,0,19,0,0,0
"('cell', 961)",0,0,0,0,13,0,0,0
"('cell', 569)",0,0,0,0,8,0,0,2
"('cell', 1302)",0,0,3,0,2,0,0,0
"('cell', 1416)",0,0,3,0,6,0,0,0
"('cell', 1286)",0,0,3,0,2,0,0,0
"('cell', 1239)",0,0,3,0,2,0,0,0
"('cell', 968)",0,0,1,0,1,0,0,1
"('cell', 1010)",0,0,2,0,1,0,0,1
"('cell', 1151)",0,0,0,0,1,0,1,0
"('cell', 1175)",0,0,0,0,1,0,1,1
"('cell', 1143)",0,0,0,0,1,0,0,1
"('cell', 1141)",0,0,0,0,1,0,0,1
"('cell', 1168)",0,0,0,0,1,0,0,1
"('cell', 1145)",0,0,0,0,1,0,0,1
"('cell', 1060)",0,0,2,0,1,0,0,1
"('cell', 1297)",0,0,0,0,0,0,0,1
"('cell', 1371)",0,0,1,0,0,0,0,1
"('cell', 1375)",0,0,0,0,0,0,0,1
"('cell', 1365)",0,0,1,0,0,0,1,1
"('cell', 1154)",0,0,0,0,1,0,0,1
"('cell', 1429)",0,0,1,0,0,0,0,0
"('cell', 969)",0,0,2,0,1,0,1,0
"('cell', 996)",0,0,2,0,1,0,0,0
"('cell', 927)",0,0,2,0,0,0,4,1
"('cell', 951)",0,0,2,0,1,0,4,0
"('cell', 1039)",0,0,3,0,1,0,0,1
"('cell', 959)",0,0,2,0,1,0,1,0
"('cell', 920)",0,0,2,0,0,0,4,0
"('cell', 939)",0,0,3,0,0,0,4,0
"('cell', 1421)",0,0,2,0,6,0,0,0
"('cell', 1346)",0,0,1,0,2,0,2,0
"('cell', 1450)",0,0,0,0,3,0,0,0
"('cell', 1456)",0,0,0,0,6,0,0,0
"('cell', 622)",0,0,0,1,11,0,0,2
"('cell', 369)",0,0,0,0,20,0,0,0
"('cell', 826)",0,0,0,0,17,0,0,0
"('cell', 787)",0,0,0,0,0,0,2,1
"('cell', 807)",0,0,0,0,0,0,0,2
"('cell', 804)",0,0,0,0,0,0,1,2
"('cell', 831)",0,0,0,0,0,0,0,1
"('cell', 798)",0,0,0,0,0,0,0,2
"('cell', 849)",0,0,1,0,0,0,1,1
"('cell', 864)",0,0,2,0,1,0,3,1
"('cell', 836)",0,0,0,0,0,0,1,1
"('cell', 844)",0,0,1,0,0,0,0,2
"('cell', 926)",0,0,2,0,1,0,1,1
"('cell', 414)",0,0,1,0,6,0,0,1
"('cell', 12)",2,0,0,4,6,2,7,0
"('cell', 35)",0,0,0,1,7,0,1,1
"('cell', 30)",0,0,0,1,9,0,1,1
"('cell', 49)",0,0,0,1,13,0,3,2
"('cell', 104)",0,0,0,1,17,0,1,3
"('cell', 65)",0,0,0,1,11,0,1,2
"('cell', 21)",0,0,0,1,8,0,1,1
"('cell', 58)",0,0,0,1,11,0,1,1
"('cell', 568)",0,1,0,0,6,0,0,2
"('cell', 1160)",0,0,0,0,6,0,0,0
"('cell', 1473)",1,2,0,4,0,0,5,0
"('cell', 1482)",1,1,0,3,1,0,3,0
"('cell', 1357)",0,0,0,3,0,0,2,0
"('cell', 703)",0,0,0,1,11,0,0,0
"('cell', 931)",0,0,0,0,10,0,0,0
"('cell', 1430)",0,0,0,0,2,0,0,0
"('cell', 802)",0,0,0,0,7,0,0,2
"('cell', 937)",0,0,2,0,1,0,1,1
"('cell', 947)",0,0,2,0,0,0,1,1
"('cell', 979)",0,0,2,0,1,0,0,1
"('cell', 958)",0,0,2,0,1,0,0,1
"('cell', 994)",0,0,2,0,1,0,0,1
"('cell', 997)",0,0,2,0,1,0,0,1
"('cell', 944)",0,0,2,0,1,0,0,1
"('cell', 983)",0,0,2,0,1,0,0,0
"('cell', 1244)",0,0,1,0,1,0,2,0
"('cell', 1210)",0,0,0,0,1,0,2,0
"('cell', 1183)",0,0,0,0,1,0,3,0
"('cell', 1253)",0,0,0,0,1,0,1,0
"('cell', 1282)",0,0,1,0,1,0,1,0
"('cell', 1335)",0,0,0,0,2,0,3,0
"('cell', 1341)",0,0,1,0,2,0,3,0
"('cell', 1378)",0,0,0,0,3,0,1,0
"('cell', 1405)",0,0,1,0,1,0,1,0
"('cell', 1419)",0,0,1,0,2,0,1,0
"('cell', 1415)",0,0,1,0,0,0,1,0
"('cell', 1338)",0,0,1,0,1,0,1,1
"('cell', 1294)",0,0,1,0,1,0,2,0
"('cell', 705)",0,0,0,0,0,0,9,0
"('cell', 899)",0,0,1,0,0,0,7,0
"('cell', 778)",0,0,1,0,0,0,7,1
"('cell', 910)",0,0,3,0,0,0,7,0
"('cell', 827)",0,0,1,0,0,0,5,2
"('cell', 760)",0,0,1,0,0,0,7,0
"('cell', 735)",0,0,0,0,0,0,6,1
"('cell', 1432)",0,0,1,0,4,0,0,0
"('cell', 1288)",0,0,1,1,1,0,4,0
"('cell', 1249)",0,0,1,1,1,0,5,0
"('cell', 591)",0,0,0,1,9,0,0,1
"('cell', 561)",0,0,0,1,11,0,0,0
"('cell', 563)",0,0,0,1,7,0,0,0
"('cell', 690)",0,0,0,1,21,0,0,0
"('cell', 686)",0,0,0,0,24,0,0,0
"('cell', 770)",0,0,0,0,22,0,0,0
"('cell', 398)",0,1,0,0,9,0,0,0
"('cell', 753)",0,0,0,0,0,0,2,1
"('cell', 765)",0,0,0,0,0,0,5,1
"('cell', 510)",0,1,0,1,2,0,0,1
"('cell', 480)",0,1,0,1,2,0,0,1
"('cell', 501)",0,1,0,0,2,0,0,1
"('cell', 421)",0,1,0,0,4,0,0,1
"('cell', 492)",0,1,0,0,5,0,0,2
"('cell', 450)",0,1,0,0,13,0,0,0
"('cell', 541)",0,1,0,0,12,0,0,2
"('cell', 493)",0,1,0,0,2,0,0,2
"('cell', 505)",0,1,0,0,6,0,0,2
"('cell', 537)",0,1,0,0,6,0,0,2
"('cell', 486)",0,1,0,0,5,0,0,2
"('cell', 487)",0,1,0,0,1,0,0,2
"('cell', 471)",0,1,0,0,9,0,0,2
"('cell', 449)",0,1,0,0,4,0,0,2
"('cell', 463)",0,1,0,0,4,0,0,2
"('cell', 567)",2,3,0,8,3,6,10,0
"('cell', 468)",0,2,2,5,1,0,6,0
"('cell', 530)",0,0,1,0,1,0,2,1
"('cell', 112)",0,0,1,2,23,0,1,3
"('cell', 40)",2,0,2,4,2,1,3,3
"('cell', 27)",2,0,2,3,4,1,3,4
"('cell', 96)",0,0,0,1,16,0,1,0
"('cell', 111)",0,0,0,1,12,0,1,0
"('cell', 150)",0,0,0,1,21,0,0,0
"('cell', 122)",0,0,0,1,17,0,0,0
"('cell', 45)",0,0,0,1,13,0,1,1
"('cell', 638)",0,0,0,2,2,1,9,1
"('cell', 475)",0,1,0,0,4,0,0,2
"('cell', 452)",0,1,0,0,2,0,0,2
"('cell', 1483)",0,0,0,0,1,0,1,0
"('cell', 1236)",0,0,0,0,3,0,1,0
"('cell', 1193)",0,0,0,0,5,0,0,0
"('cell', 1368)",1,1,0,5,0,1,3,0
"('cell', 1340)",0,0,0,3,0,0,2,0
"('cell', 1464)",1,2,0,4,0,0,5,0
"('cell', 1463)",0,0,0,3,1,0,1,0
"('cell', 1478)",0,0,0,3,1,0,1,0
"('cell', 1376)",0,2,2,5,0,1,5,0
"('cell', 856)",0,0,0,1,14,0,0,0
"('cell', 819)",0,0,0,1,13,0,0,0
"('cell', 841)",0,0,0,1,12,0,0,0
"('cell', 1059)",0,0,0,0,5,0,0,0
"('cell', 1074)",0,0,0,0,3,0,0,0
"('cell', 999)",0,0,0,0,4,0,0,0
"('cell', 1441)",0,0,1,0,5,0,0,0
"('cell', 1444)",0,0,0,0,5,0,0,0
"('cell', 1438)",0,0,1,0,5,0,0,0
"('cell', 1469)",0,0,0,0,5,0,0,0
"('cell', 1476)",0,0,0,0,4,0,0,0
"('cell', 1487)",0,0,0,0,2,0,0,0
"('cell', 1465)",0,0,0,0,4,0,0,0
"('cell', 1470)",0,0,0,0,2,0,1,0
"('cell', 710)",0,0,0,1,2,1,7,0
"('cell', 663)",3,1,0,7,2,8,12,0
"('cell', 954)",0,0,1,0,0,0,0,0
"('cell', 900)",0,0,2,2,0,0,8,0
"('cell', 1170)",1,2,0,5,0,6,6,0
"('cell', 1201)",0,1,0,2,0,4,3,0
"('cell', 1195)",1,1,0,2,0,4,3,0
"('cell', 1269)",0,1,0,2,0,2,2,0
"('cell', 1132)",0,1,1,2,0,0,7,0
"('cell', 1184)",0,0,2,0,0,0,3,0
"('cell', 1121)",3,1,1,4,0,4,10,0
"('cell', 1027)",0,0,0,0,1,0,0,1
"('cell', 1006)",0,0,1,0,1,0,0,1
"('cell', 1019)",0,0,2,0,1,0,0,1
"('cell', 1042)",0,0,2,0,1,0,0,1
"('cell', 1001)",0,0,1,0,1,0,0,1
"('cell', 1395)",0,0,1,0,2,0,2,0
"('cell', 1367)",0,0,0,0,2,0,3,0
"('cell', 1374)",0,0,0,0,2,0,3,0
"('cell', 1382)",0,0,1,0,2,0,2,0
"('cell', 1437)",0,0,1,0,0,0,0,0
"('cell', 1447)",0,0,1,0,1,0,0,0
"('cell', 1435)",0,0,1,0,1,0,1,0
"('cell', 1431)",0,0,1,0,1,0,1,0
"('cell', 1455)",0,0,1,0,1,0,0,0
"('cell', 1442)",0,0,1,0,0,0,0,0
"('cell', 681)",3,0,0,6,3,4,6,0
"('cell', 667)",1,0,0,9,3,1,11,0
"('cell', 701)",2,0,0,6,3,3,8,0
"('cell', 731)",0,0,0,2,2,0,6,0
"('cell', 732)",0,0,0,6,3,1,7,0
"('cell', 607)",0,0,0,0,0,0,4,0
"('cell', 668)",0,0,0,0,0,0,8,0
"('cell', 906)",0,0,1,0,0,0,4,0
"('cell', 860)",0,0,1,0,0,0,10,0
"('cell', 866)",0,0,2,0,0,0,8,0
"('cell', 942)",0,0,2,0,0,0,4,0
"('cell', 1128)",1,0,3,1,0,1,9,0
"('cell', 1137)",1,1,2,1,0,1,8,0
"('cell', 1124)",1,1,2,4,0,1,10,0
"('cell', 1157)",0,1,3,1,0,0,5,0
"('cell', 1188)",1,1,2,3,0,1,4,0
"('cell', 1147)",1,1,2,4,0,1,5,0
"('cell', 1277)",0,0,2,0,2,0,0,0
"('cell', 1301)",0,0,1,0,3,0,0,0
"('cell', 1336)",0,0,2,0,4,0,0,0
"('cell', 1363)",0,0,1,0,2,0,0,0
"('cell', 1276)",0,0,3,1,2,0,1,0
"('cell', 1328)",0,0,3,0,3,0,0,0
"('cell', 1049)",0,0,0,2,0,0,8,0
"('cell', 380)",0,0,0,0,24,0,0,0
"('cell', 533)",0,0,0,2,14,0,0,0
"('cell', 482)",0,0,0,1,21,0,0,0
"('cell', 506)",0,0,0,1,19,0,0,0
"('cell', 425)",0,0,0,1,20,0,0,0
"('cell', 597)",0,0,0,2,10,0,0,0
"('cell', 516)",0,0,0,2,22,0,0,0
"('cell', 576)",0,0,0,2,17,0,0,0
"('cell', 538)",0,0,0,1,20,0,0,0
"('cell', 562)",0,0,0,1,22,0,0,0
"('cell', 661)",0,0,0,2,16,0,0,0
"('cell', 634)",0,0,0,2,14,0,0,0
"('cell', 546)",0,0,0,1,27,0,0,0
"('cell', 620)",0,0,0,1,8,0,0,0
"('cell', 606)",0,0,0,2,12,0,0,0
"('cell', 932)",0,0,0,0,12,0,0,0
"('cell', 975)",0,0,0,0,10,0,0,0
"('cell', 875)",0,0,0,0,20,0,0,0
"('cell', 880)",0,0,0,0,20,0,0,0
"('cell', 917)",0,0,0,0,19,0,0,0
"('cell', 918)",0,0,0,0,17,0,0,0
"('cell', 51)",2,5,0,5,1,0,14,0
"('cell', 390)",0,0,0,2,0,0,0,0
"('cell', 81)",1,3,0,5,0,0,7,0
"('cell', 72)",1,3,0,5,0,0,10,0
"('cell', 188)",0,0,0,0,8,0,1,0
"('cell', 270)",0,1,0,1,4,0,1,0
"('cell', 296)",0,1,0,1,4,0,1,0
"('cell', 291)",0,1,0,0,5,0,0,0
"('cell', 689)",0,0,0,0,0,0,2,1
"('cell', 727)",0,0,0,0,0,0,3,1
"('cell', 704)",0,0,0,0,0,0,5,1
"('cell', 598)",0,1,0,0,0,0,0,1
